u band
-18.89342
-16.721128
-15.595964
-15.053666
-15.982096
-14.71909
-13.52801
-13.786646
-15.055016
-14.048975
1e+37
1e+37
1e+37
-18.28996
-15.381153
-16.345617
-15.790648
-16.372246
-16.400099
-15.310025
-13.132294
-12.92
-14.328284
1e+37
1e+37
1e+37
-13.711134
1e+37
1e+37
1e+37
1e+37
-19.314817
-13.13127
-15.84958
-13.847127
1e+37
1e+37
-19.12254
1e+37
-17.280632
-16.660004
-14.75804
-15.702096
-15.4894085
-14.471871
-15.279064
-13.474023
1e+37
1e+37
-14.568151
-13.4596615
-14.045657
1e+37
1e+37
1e+37
1e+37
-11.553178
-19.65425
1e+37
1e+37
-13.16119
1e+37
1e+37
-18.206072
-15.211672
-14.842576
-14.697208
1e+37
1e+37
-15.583639
1e+37
1e+37
-12.287534
-17.283337
-15.992062
1e+37
-14.455536
-15.092147
-15.54884
-15.513787
1e+37
1e+37
1e+37
-13.858769
-13.1572075
-17.6344
-17.4063
-15.6216345
-13.421175
-14.396963
-13.290354
-17.840117
-16.560385
-15.488925
1e+37
-12.257209
-15.400036
-15.399539
1e+37
-13.203883
1e+37
1e+37
-13.169896
-13.587513
-17.019732
-16.19942
-15.349537
-15.376252
1e+37
1e+37
1e+37
1e+37
1e+37
-13.048999
-17.160599
-16.996235
-14.495799
-13.756002
-14.804433
-13.026862
1e+37
-14.322643
-12.998946
-12.305271
-13.75222
-14.636091
-17.44944
-14.8621025
-13.5104065
-14.964656
-14.878986
1e+37
-13.2345
-14.690794
-14.74163
1e+37
1e+37
-16.067114
-16.901262
-15.777332
-15.92674
1e+37
-13.58016
1e+37
-14.75157
1e+37
1e+37
-18.649141
-13.424093
1e+37
-17.644363
-13.65477
-14.321863
-11.85699
1e+37
-13.04
-13.856149
-17.319117
1e+37
-15.558256
-15.184709
-15.05693
-14.468043
1e+37
-12.851711
-13.073702
1e+37
1e+37
-12.930249
1e+37
-17.60282
-15.110534
-16.11693
-15.756491
-14.730529
-13.246059
-14.91273
-17.367306
-14.886403
-15.965361
1e+37
-13.821323
1e+37
1e+37
-13.1097145
1e+37
1e+37
1e+37
-16.658243
-16.059477
-15.947531
-16.436167
-13.602037
-12.7648
-14.055369
1e+37
1e+37
-13.611102
1e+37
-17.899769
-15.41419
-13.806292
-15.10142
-13.857062
-13.416732
1e+37
-17.028385
