Time Since Last Major Merger [Gyr],Number of Major Mergers
12.445128288561726,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.860805387276077,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.182845139342968,2
13.8,0
13.8,0
13.8,0
13.8,0
12.259335340432735,1
12.361172370658442,3
13.8,0
13.8,0
13.8,0
13.010124756583885,2
13.8,0
13.8,0
13.8,0
13.8,0
13.273522887332552,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,2
13.8,0
11.472636476156387,4
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,1
13.8,0
10.555201291724902,3
13.8,0
12.77131608967524,1
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.977660855576497,1
13.8,0
11.317040961531216,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.017171205041501,7
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.804875891454154,4
10.398502407966777,1
13.8,0
13.8,0
13.010124756583885,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.894981355405132,1
13.8,0
13.8,0
13.8,0
12.445128288561726,4
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.860805387276077,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.62066479053492,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.860805387276077,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,3
13.8,0
9.78178393942305,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.007950132808551,5
9.78178393942305,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.164723670049517,2
12.445128288561726,1
12.698000090258516,2
13.273522887332552,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.894981355405132,1
13.8,0
11.903627662592406,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.71425401075792,7
13.8,0
12.55480493374341,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.804875891454154,2
12.698000090258516,1
13.8,0
12.894981355405132,2
12.259335340432735,3
13.8,0
11.007950132808551,10
13.8,0
13.8,0
12.445128288561726,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.007950132808551,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.62066479053492,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.766835879457043,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.766835879457043,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,3
13.8,0
13.8,0
10.398502407966777,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.804875891454154,2
13.8,0
13.380375797286645,1
13.8,0
13.8,0
13.8,0
10.860805387276077,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.71425401075792,3
13.8,0
12.445128288561726,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.164723670049517,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.317040961531216,2
13.8,0
11.564820529584908,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.766835879457043,2
12.62066479053492,4
13.8,0
13.8,0
13.010124756583885,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
