Time Since Last Major Merger [Gyr],Number of Major Mergers
12.03103276926692,1
11.564820529584908,4
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.55480493374341,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
8.688041270237903,5
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.766835879457043,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.860805387276077,6
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.555201291724902,2
13.8,0
13.8,0
13.8,0
13.8,0
12.698000090258516,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.555201291724902,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.71425401075792,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.627308552926124,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.017171205041501,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.1040170178224,1
10.228946019806829,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
7.314853196564866,6
13.8,0
12.804875891454154,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.361172370658442,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
6.343349487178173,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
7.127191011932116,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.927159031249541,3
12.259335340432735,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.894981355405132,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
8.21393431111962,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.164723670049517,1
12.62066479053492,1
11.766835879457043,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.08306113048199,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.927159031249541,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.259335340432735,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.317040961531216,5
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.860805387276077,3
13.8,0
13.8,0
13.8,0
13.8,0
11.164723670049517,4
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.555201291724902,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
