Time Since Last Major Merger [Gyr],Stellar Mass [Msun],Star Formation Rate [Msun/year]
3.9566148760250552,537678280000.0,0.41328505
0.7996985537050004,603443700000.0,17.392204
4.1263829496144036,165069550000.0,5.0793796
6.980874466634759,128302250000.0,1.4146897
6.829554589521824,184889970000.0,0.88655853
2.4291292845389045,278438770000.0,2.1843414
5.060286141005803,185417610000.0,0.0
6.228282463604683,214709200000.0,0.0
5.060286141005803,193516730000.0,0.0
4.764322389615253,227828320000.0,1.4603422
3.5127812686993463,250358660000.0,0.0
11.564820529584908,80570970000.0,0.0
8.21393431111962,93406280000.0,0.0
5.9899196835602755,162063450000.0,0.0
6.343349487178173,68835470000.0,0.013021496
12.977660855576497,96776990000.0,0.0
0.6709845706668205,75693850000.0,0.058373336
13.273522887332552,82889900000.0,0.017469922
11.317040961531216,127948910000.0,0.0
13.14922900936169,41201594000.0,0.46135437
10.71425401075792,105616605000.0,0.0
12.259335340432735,46274400000.0,0.0
11.472636476156387,103265250000.0,0.0
10.71425401075792,27938990000.0,3.5962365
9.78178393942305,65201844000.0,0.0
3.0394466539418774,48008913000.0,0.0
10.228946019806829,42469090000.0,0.0
13.8,36162773000.0,0.0
11.317040961531216,28447280000.0,0.059434626
8.35629475611738,49401280000.0,0.0
9.155686374365665,74102555000.0,0.0
12.698000090258516,42453037000.0,0.45162132
3.8701007915577907,37814383000.0,0.0
12.977660855576497,49380950000.0,0.0
12.445128288561726,39716327000.0,0.0
12.445128288561726,25872998000.0,0.42312476
8.559304846246297,12864732000.0,2.2517612
0.4081416012413021,22459292000.0,0.12213372
13.056632387368865,25966074000.0,0.0
12.55480493374341,27542680000.0,0.0
13.1040170178224,46096400000.0,7.7620635
3.6937283745634772,7673166000.0,2.2630506
12.55480493374341,24180494000.0,1.854935
12.361172370658442,23757275000.0,0.0
13.056632387368865,43802680000.0,0.0
13.273522887332552,24083612000.0,0.0
10.555201291724902,28536142000.0,0.0
5.2029077325590825,10176198000.0,1.7775145
12.445128288561726,30468393000.0,0.0
12.62066479053492,25400041000.0,0.33902478
9.927159031249541,11954137000.0,2.0938554
11.564820529584908,26977253000.0,0.5442667
10.860805387276077,41024350000.0,0.0
5.060286141005803,18198039000.0,2.0991147
10.398502407966777,40923360000.0,0.0
11.564820529584908,18651510000.0,0.0
13.8,37175013000.0,0.0
11.903627662592406,36812200000.0,0.0
12.77131608967524,30307834000.0,0.0
10.398502407966777,42135750000.0,0.0
12.77131608967524,7694875000.0,0.26112914
10.71425401075792,10859943000.0,0.43545103
3.5127812686993463,42680246000.0,0.0
6.980874466634759,10945150000.0,0.79691076
12.62066479053492,13145718000.0,0.0
13.1040170178224,33145422000.0,0.0
5.610565552055648,28562065000.0,0.0
13.8,27125301000.0,0.0
12.445128288561726,8214159400.0,0.68436927
10.71425401075792,16180179000.0,0.0
11.766835879457043,18726312000.0,0.08205012
6.51102552743642,21728635000.0,4.5309973
9.627308552926124,17644507000.0,0.053112414
10.71425401075792,26364471000.0,0.0
13.198853574391514,10639750000.0,0.0
8.841999739310914,11118765000.0,0.0
1.051863649715909,8138531000.0,0.0
9.462953435380172,11001170000.0,0.0
9.155686374365665,17824655000.0,0.0
9.78178393942305,30218097000.0,0.0
10.860805387276077,29848620000.0,0.0
8.35629475611738,20325670000.0,2.322414
11.164723670049517,15266172000.0,0.0
9.017171205041501,3125366500.0,0.33643985
5.9899196835602755,14302910000.0,0.0
12.698000090258516,10210052000.0,0.16980977
10.555201291724902,30667352000.0,0.0
10.860805387276077,3693383200.0,0.43490863
13.8,31506246000.0,0.0
12.698000090258516,18869565000.0,0.0
