Time Since Last Major Merger [Gyr],Stellar Mass [Msun],Star Formation Rate [Msun/year]
7.790641621123915,686400800000.0,194.86835
10.398502407966777,192619450000.0,30.860956
11.317040961531216,150142270000.0,1.380287
8.065600192500748,296685440000.0,29.396936
10.71425401075792,112457100000.0,23.592144
11.564820529584908,171841630000.0,5.4895906
9.155686374365665,118522130000.0,16.864216
12.62066479053492,225945200000.0,0.2263694
12.977660855576497,54772503000.0,6.2036667
12.445128288561726,37211680000.0,11.078752
8.35629475611738,44445380000.0,17.338274
10.398502407966777,88764285000.0,0.17347704
10.398502407966777,78550610000.0,17.828339
13.8,44935830000.0,2.0048048
10.860805387276077,40002080000.0,25.538425
10.555201291724902,61781975000.0,2.1066337
10.860805387276077,39880340000.0,14.429925
13.056632387368865,51215150000.0,0.0
10.555201291724902,54663280000.0,17.417692
12.698000090258516,16127999000.0,8.103804
8.841999739310914,58613470000.0,3.6751554
9.78178393942305,37245837000.0,3.6604025
11.007950132808551,57299874000.0,0.0
11.317040961531216,48990044000.0,0.021083388
11.164723670049517,40117125000.0,12.188461
11.007950132808551,45885383000.0,0.043803528
10.71425401075792,28839186000.0,2.4437397
12.894981355405132,7629479400.0,3.0053475
12.445128288561726,31758555000.0,3.324487
12.03103276926692,46484850000.0,0.0008817765
13.8,27373718000.0,1.1957576
11.164723670049517,7941064700.0,7.8097367
12.977660855576497,25597862000.0,0.0
12.182845139342968,14713157000.0,6.167286
11.564820529584908,39081580000.0,0.00585807
10.555201291724902,12539275000.0,14.602909
12.445128288561726,24535933000.0,4.699008
10.71425401075792,12336013000.0,7.679596
10.08306113048199,3398771700.0,0.48391846
12.259335340432735,1709628800.0,0.6083949
12.894981355405132,11299936000.0,1.406417
12.804875891454154,7776453000.0,2.124119
9.927159031249541,3973234000.0,0.6792916
12.259335340432735,7608142000.0,0.7683279
11.007950132808551,9211379000.0,0.44604567
13.8,13809962000.0,0.0
11.766835879457043,6358389000.0,0.0
13.14922900936169,13935165000.0,0.0
9.78178393942305,13086744000.0,0.0
12.445128288561726,14642604000.0,0.0
12.62066479053492,6891408000.0,0.77449256
11.564820529584908,13186460000.0,0.0
13.8,1150653700.0,0.6767268
10.08306113048199,8750444000.0,0.06895268
11.164723670049517,3175119600.0,1.4730618
13.8,823582660.0,0.24939026
13.8,662666800.0,0.27869058
12.698000090258516,4261171200.0,1.0235668
11.007950132808551,2232583000.0,0.05239541
12.804875891454154,1526166500.0,0.43092483
12.03103276926692,3459057200.0,0.30419737
12.62066479053492,1220342100.0,0.38123932
9.462953435380172,811576400.0,0.44466656
11.564820529584908,1730286200.0,0.0
13.8,3241127000.0,0.08196594
12.62066479053492,5120585700.0,0.085952
12.03103276926692,4180575000.0,0.0
12.03103276926692,8505014000.0,0.0
9.017171205041501,447148960.0,0.25733507
11.766835879457043,422508200.0,0.3868674
13.010124756583885,4727101000.0,0.004407087
11.007950132808551,2292647000.0,0.3817901
12.361172370658442,482024830.0,0.07370781
11.903627662592406,2528339000.0,2.164373
11.164723670049517,4885254000.0,0.0
11.903627662592406,3513827300.0,0.0
13.056632387368865,6775968300.0,0.0
10.71425401075792,2682057500.0,0.0
13.8,381777400.0,0.052796237
11.564820529584908,1953664800.0,0.0
12.445128288561726,1798618500.0,0.0
11.472636476156387,1854836400.0,0.13919555
12.804875891454154,5315075600.0,0.0
