SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.15796308,0.005820723
0.0,0.005251386
0.019395027,0.0056529082
0.0,0.0073481314
0.0,0.0066165836
0.0,0.0080164
0.0,0.0066723498
0.0,0.0074334643
0.0,0.0050689857
0.0,0.0071168733
0.0,0.0054586567
0.0,0.0065448866
0.0,0.004802208
0.0,0.006584512
0.0,0.010406926
0.0,0.0101248175
0.0,0.011640426
0.0,0.009814371
0.0,0.015062489
0.0,0.024595395
0.0,0.039742026
0.15143372,0.020172128
0.0,0.018825699
0.0,0.02820583
0.0,0.0061129658
0.0,0.0071441904
0.0,0.005747293
0.0,0.0054066367
0.0,0.004940771
0.0,0.0061141294
0.0,0.006186066
0.0,0.0056822407
0.0,0.0066357213
0.0,0.0062711323
0.0,0.00594034
0.0,0.005500313
0.0,0.0064808005
0.0,0.00699084
0.0,0.026338615
0.0,0.023085294
0.0,0.022352671
0.0,0.021716546
0.0,0.05285741
0.08107726,0.0066727623
0.03981462,0.0066194716
0.0,0.006877332
0.0,0.006992794
0.0,0.0057349135
0.0,0.0060199588
0.0,0.0073775034
0.0,0.0049261595
0.0,0.0067390334
0.0,0.00790779
0.0,0.00708967
0.0,0.0057349643
0.0,0.0047043166
0.0,0.00485901
0.0,0.0062928735
0.0,0.005636903
0.033601064,0.0075347135
0.0,0.007321147
0.0,0.006650483
0.0,0.0080449
0.0,0.0076838406
0.0,0.017359871
0.12979452,0.0070108566
0.023003638,0.0069642747
0.021341184,0.007219352
0.0,0.006669396
0.0,0.00446222
0.0,0.006152861
0.0,0.006722492
0.0,0.0069864737
0.0,0.0065495158
0.0,0.006558686
0.0,0.025457477
0.0,0.01872564
0.0,0.006238954
0.0,0.0064245802
0.0,0.005604383
0.0,0.006315367
0.0,0.006466222
0.0,0.005486411
0.0,0.009320479
0.0,0.02279493
0.0,0.028947946
0.13148694,0.0059095
0.0,0.0061469073
0.0,0.005591561
0.0,0.005374565
0.0,0.05604812
0.0,0.01892343
0.0,0.017073687
0.0,0.038598873
0.08812699,0.00600659
0.0037301837,0.0073074168
0.0,0.0074895998
0.010074969,0.0061150375
0.0,0.004590215
0.0,0.006045228
3.2649422,0.015170866
0.19026119,0.0053125164
0.0,0.006914989
0.0,0.009090774
0.0,0.010290368
0.0,0.022919666
0.087178275,0.007354577
0.0,0.007060511
0.0,0.0052317167
0.0,0.0070606573
0.0,0.0077700703
0.0,0.014662227
0.0,0.044309422
0.0,0.045983564
0.0,0.018264487
0.0,0.02274326
0.25734258,0.006721543
0.19002944,0.005859193
0.0,0.0046600564
0.0,0.005875165
0.0,0.0053454693
0.0,0.006387458
0.0,0.005894789
0.0,0.0065751546
0.0,0.0077988603
0.0,0.0059452965
0.0,0.010841398
0.0,0.023553608
3.8429098,0.01819067
0.0,0.006296101
0.0,0.0068127317
0.0,0.007089776
0.0,0.008671497
0.0,0.024124272
0.0,0.018688777
0.0,0.02988661
0.0,0.047014855
0.07869119,0.00601712
0.08056648,0.006752311
0.0,0.0055803447
0.0,0.0053201574
0.0,0.0081368135
0.0,0.0075957854
0.0,0.008598828
0.0,0.008342234
0.0,0.009704486
0.0,0.0052611604
0.0,0.005949466
0.0,0.010094168
0.0,0.01179178
0.1087528,0.005101879
0.0,0.0045773797
0.0,0.006211015
0.04200436,0.0069684996
0.0,0.005799252
3.5686631,0.014453337
0.0,0.006447981
0.0,0.006534646
0.0,0.00612188
0.0,0.008283663
0.0,0.007328559
0.0,0.050449185
0.0,0.023538714
0.0,0.0064316965
0.0,0.0055592973
0.0,0.020702913
0.0,0.0057149366
0.0,0.0060630776
0.0,0.00798558
0.0,0.008425586
0.07935898,0.0071620676
0.11702388,0.007435533
0.1837797,0.0071057505
0.0,0.00614992
0.0,0.009906149
0.03545967,0.005176057
0.0,0.005599681
0.0,0.0054040607
0.0,0.0058241603
0.0,0.006134438
0.0,0.006753976
1.451756,0.018759605
0.0,0.010897845
0.0,0.02338797
0.0,0.018639768
0.0,0.004813248
0.0,0.0058588665
0.0,0.005449989
0.0,0.0076555423
1.1108531,0.020243132
0.0,0.010376358
0.1403597,0.0063368953
0.06413843,0.007032224
0.007115042,0.008319899
0.0,0.009135709
0.0,0.034696266
0.0,0.026546488
0.1907745,0.0065861233
0.13147855,0.006004625
0.0,0.007457541
0.0,0.020760013
0.0,0.0058475337
0.0,0.0069989795
0.0,0.006576236
0.4158365,0.0056292894
0.10559167,0.005252339
0.0,0.0077603604
0.0,0.010474754
0.0,0.011283714
0.0,0.015841234
0.0,0.02623614
0.0,0.005653516
0.0,0.007690612
0.0,0.011311265
0.22869965,0.016481664
0.062618986,0.025038205
0.0,0.019055432
0.0,0.033623304
0.0,0.0073911934
0.0,0.008073363
0.0,0.02264101
0.0,0.005782092
