SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.25733507,0.0047660144
0.3868674,0.004277678
0.052796237,0.0057531265
0.0,0.0050497907
0.06565623,0.007230254
0.0,0.0061091194
11.093987,0.010927188
0.0,0.0055013164
0.0014785231,0.0063437363
0.0,0.005964487
2.1700609,0.013995135
0.0,0.0065050055
0.0,0.006707189
0.0,0.008426146
0.0,0.013846946
0.08789076,0.0063155834
0.13942401,0.006355554
0.25022423,0.005730182
0.0,0.004961176
0.033167608,0.0067769457
0.061391845,0.0057136207
0.25600955,0.005576077
0.024279745,0.0062024803
0.0,0.005576132
0.0,0.006228666
0.0,0.00562891
0.0,0.006144819
0.012153094,0.007899214
0.0,0.0060337936
0.0,0.004934435
0.0,0.004807599
0.0,0.0061892746
0.0,0.007850474
0.18138263,0.01796715
0.0,0.015756492
0.15829055,0.007427666
0.06470112,0.0056186086
0.0,0.004938669
0.0,0.0067831157
7.8043118,0.022879373
1.7386004,0.018182699
0.0,0.0076030614
0.0,0.010698225
0.0,0.011914761
0.0,0.018545518
0.06256957,0.01089207
0.0,0.027913429
0.0,0.028701276
0.0,0.033956658
3.7015283,0.04517145
0.0,0.062620334
0.0,0.004747299
0.0,0.006182478
0.0,0.0056351637
0.0,0.0065644514
0.0,0.005889128
0.0,0.025155455
0.014533888,0.019475583
0.0,0.01791009
0.3438216,0.0053020795
0.0673779,0.004847801
0.0,0.0067931483
0.0,0.007790912
0.13839662,0.00822935
0.0,0.007970575
0.0,0.0048646745
0.0,0.006041509
0.0,0.009312015
0.0,0.011211013
0.1429417,0.00564081
0.0,0.004753692
0.0,0.005372906
0.0,0.0050434386
0.0,0.0058545414
0.0,0.0077301553
0.0,0.0077843945
0.0,0.010749103
0.0,0.037924707
0.0,0.026574505
0.051763874,0.0063843937
0.21096519,0.0050847162
0.0,0.004502978
0.0011818479,0.005714113
0.0,0.007590686
0.0,0.00698107
0.0,0.008343972
0.0,0.021692654
0.21387549,0.0069105066
0.0,0.005271151
6.9493847,0.014168963
0.0,0.0068540736
0.0,0.011803176
0.0,0.009798406
0.0,0.0058331466
0.0,0.004267344
0.0,0.006022305
0.0,0.008682018
0.0,0.004199825
0.0701138,0.0052015423
0.0,0.0061538713
0.0,0.005749336
0.0,0.0068908785
0.0,0.0069987527
0.16155134,0.0055189454
0.0,0.0056889
0.0,0.005891467
0.0,0.006901197
0.0,0.011388139
0.0,0.0059977677
3.2368174,0.007641213
0.007825201,0.0062271827
0.018618042,0.0043171076
0.9415546,0.009866448
1.1159252,0.02025821
0.0,0.0065236636
0.0,0.019057434
0.09342722,0.0056520747
0.16446085,0.0053751585
0.12643853,0.0066313697
0.0,0.022864796
0.0,0.0049699033
0.0044339746,0.0058641187
0.108978875,0.005756663
0.0,0.0076588034
1.1915843,0.012934805
0.0,0.0065931147
0.0,0.0053356052
0.0,0.00512648
0.0,0.010705747
0.0,0.06049763
0.12560208,0.0059591956
0.2457555,0.005037445
7.260164,0.023486152
0.0,0.0061045713
0.0,0.0061908104
0.0,0.008554391
0.015961202,0.005078199
0.0,0.010581335
0.042813722,0.0065277857
0.0,0.0088826865
0.10608764,0.0059555066
0.174313,0.0057602823
0.20676471,0.0052300175
0.090449266,0.004963082
0.0,0.0056652986
3.7049422,0.023589581
0.0,0.005721295
0.017938076,0.01388697
0.2180645,0.0035741227
0.0,0.0038454481
0.0,0.005163618
0.0,0.006886423
0.041769058,0.0044947253
0.0,0.00623816
0.0,0.006701466
0.0,0.0061757443
0.0,0.0056875907
0.0,0.03514399
0.0,0.01473111
0.0,0.007640421
0.0,0.0058888216
0.0,0.011645567
0.0,0.017994016
0.36579397,0.0051192413
0.00081716065,0.0067685083
0.06649579,0.006403909
0.0,0.008537583
0.0,0.030996162
0.11332276,0.0052146968
0.0,0.0070920475
0.0,0.005986508
0.06086626,0.005562074
0.00039086153,0.006558206
0.0,0.006912378
0.25932887,0.006413844
5.23299,0.009939734
0.0024785078,0.008245758
0.0,0.006545336
0.013127241,0.0073879138
0.0,0.0063195284
0.0,0.016339678
0.026281178,0.00525189
0.617189,0.019604517
0.0,0.010422445
0.0,0.017562725
0.0,0.0057016728
0.0,0.0047565405
0.06797458,0.0062261727
0.0,0.007589197
0.0,0.006318102
1.0882449,0.015144637
2.065526,0.016816206
0.0,0.035814453
8.92951,0.010895866
0.0,0.0059119887
0.0,0.007050266
0.0,0.006706312
0.0,0.013027166
0.00525657,0.006924489
0.0,0.006141033
0.03419513,0.0059095174
0.038764145,0.007206708
0.0,0.0070344573
10.55606,0.013047765
