SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.169429,0.0052326624
0.34672177,0.005611497
0.007761281,0.006178201
1.569482,0.014961925
1.343056,0.011962971
1.0820457,0.017376246
0.0,0.031098958
0.0,0.017533202
0.1405335,0.0043550064
0.63595045,0.0062270956
0.0,0.0059044035
0.24494098,0.017329322
0.0,0.025635356
0.08690974,0.0054791365
1.0913522,0.0031870657
0.17385909,0.0060506533
0.2960562,0.0057069412
0.0,0.005934198
0.0,0.0059879236
0.0,0.006965446
0.0,0.0058148196
0.22048156,0.004642282
0.11336912,0.0059958515
0.0,0.005997145
0.0,0.006517851
0.0,0.0054138754
0.0,0.004547768
0.0,0.005386439
0.0,0.007944007
6.3149395,0.020694861
0.0,0.0071212146
0.44250515,0.011808593
0.0,0.017668152
0.103043005,0.005205488
0.026265608,0.0060798745
5.723351,0.011598607
0.0,0.005625749
0.0,0.00654561
0.052532785,0.0151288
0.2161038,0.0042498177
0.04049065,0.00593289
0.0,0.005548665
0.29351854,0.0050844997
0.046905894,0.007426641
0.13663705,0.0065820464
0.2250126,0.004457942
0.0,0.0058321743
0.0,0.0062685134
0.0,0.0065745935
0.0,0.0072381287
0.0,0.008491725
0.0,0.02908416
0.019275054,0.004946645
0.0,0.0068261684
0.0,0.007474374
0.0,0.008012122
0.0,0.024467975
0.0,0.024083987
0.17436416,0.0057901763
0.15250294,0.0044555115
0.033796467,0.005553815
0.0,0.006372619
0.0,0.0061098994
0.0,0.009037318
0.27537805,0.0037167023
0.085932486,0.005312464
0.087763585,0.006706065
0.42676497,0.004812923
0.0,0.04582347
0.054686468,0.0031659638
0.0,0.005884612
0.0,0.023276746
0.0,0.006754103
0.0,0.014210998
0.35745925,0.0071982415
0.042271897,0.005013543
0.040001463,0.00586249
0.0,0.006433891
0.0,0.00612957
0.0,0.018777458
0.0,0.042028494
0.27129272,0.00497648
0.0,0.010861595
0.0018014706,0.016390622
0.22929884,0.004603976
0.5581525,0.004942029
0.19332138,0.005586623
0.0,0.0063138916
0.0,0.0044674515
0.0,0.0057661845
0.09788707,0.008352136
0.0,0.008941887
0.27291265,0.005495442
0.0,0.0075389184
0.0,0.008269133
0.0,0.013494213
0.0016855164,0.007054956
0.14393884,0.008199804
0.0,0.0064333044
0.0,0.007120239
0.3423569,0.014138846
0.0,0.0058270716
0.086431906,0.0055845277
0.0,0.0039679017
0.0,0.007262909
0.0,0.0064462866
0.22576259,0.005359573
0.048904058,0.0054779877
0.0,0.0046470286
0.0,0.0056403675
0.15559298,0.006199074
0.0,0.0048281075
5.7331586,0.015406118
1.8722113,0.018867185
0.36874685,0.0054636737
0.04627334,0.005395218
0.5803191,0.007563112
0.81710416,0.011697858
0.0,0.03166483
0.11473626,0.0060860105
0.0,0.0057136845
0.24883534,0.0039602895
0.24937522,0.005034637
0.0,0.005927076
0.0,0.007095591
0.0,0.03194946
0.60912323,0.005214347
0.0,0.0046756365
0.0,0.005683996
0.0,0.0068695922
0.27525565,0.011466503
0.0,0.0053753085
0.0,0.0073349057
0.078470565,0.0052466234
0.0,0.0048948126
0.0,0.011390444
0.0,0.020198084
0.19849996,0.0057506673
0.84233624,0.011638028
4.6513596,0.0098626595
11.146515,0.015063351
0.0,0.012608606
0.0,0.0091804005
1.9032735,0.01077522
0.01722136,0.0074404427
0.0,0.028923372
0.89839387,0.01306606
0.31451538,0.006158554
0.21511467,0.0049165715
0.0126138255,0.005450311
0.19511025,0.0029117896
0.86206627,0.0053020604
0.38464576,0.0049583525
0.5953166,0.0057691177
4.0353947,0.011932802
0.6302906,0.003581668
0.0,0.005766201
0.22553387,0.0045077815
0.031787686,0.0064279567
0.042945374,0.005657703
0.0,0.0048649735
0.37665233,0.0053687063
0.0,0.0144955525
0.0,0.007064
0.0,0.0038882745
0.0,0.037315667
0.0,0.01875712
0.38476747,0.0036246772
0.0,0.007989399
0.6129544,0.004996317
0.0,0.0062607485
0.0,0.006361939
4.756872,0.015313069
0.0,0.004379452
0.0,0.008084652
0.67735827,0.004641843
0.123446986,0.0133878635
0.0,0.03592053
0.094555065,0.0062059774
0.10775849,0.0059444285
0.0,0.022857178
0.070226796,0.007474304
0.070747554,0.009140585
0.0,0.006478913
0.05688092,0.0037023984
0.0030086034,0.0061027524
0.040797293,0.0039998307
0.0,0.006523174
0.0,0.010991901
0.12716523,0.0064453664
0.0,0.009628707
8.556312,0.012653621
0.0,0.02120738
0.0,0.041787308
0.0,0.020521801
2.5070734,0.0073254695
1.8809357,0.011630917
0.38883552,0.010125468
0.02494646,0.0055333804
0.12032914,0.005924181
0.24918301,0.0051156688
0.056742627,0.0061369343
0.06575701,0.006162714
0.2389387,0.0061182324
0.0,0.015330555
0.0,0.020271515
0.0,0.024784328
0.0,0.01790896
0.22902398,0.013362225
0.052602302,0.0053714383
0.14013766,0.005722694
0.011751551,0.0054856036
0.0,0.0056636585
0.060600664,0.006893021
0.0,0.012219591
0.0,0.0069913217
0.73954684,0.0040557147
0.0,0.008805794
0.0,0.006045439
6.387463,0.019136423
0.0,0.006233062
0.08641685,0.0059717274
0.0019663703,0.0055351034
0.12388384,0.0062509514
0.14745443,0.0059891054
6.504339,0.017013904
5.1479397,0.016149314
0.11772725,0.007464737
0.14673401,0.00553107
