SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.17636867,0.0056652403
0.0,0.0065514767
0.0,0.005685107
0.0,0.03577796
0.61923313,0.004643542
0.67209345,0.0045281197
0.0,0.008060397
0.0,0.018777285
0.53171337,0.0041053467
0.1125001,0.006379762
0.04002307,0.0038074884
0.0,0.006541712
1.4091961,0.009798116
0.31634077,0.0074925004
0.0,0.0074424413
0.009848729,0.0060399277
0.0,0.007353476
0.5569354,0.002732785
0.23226964,0.0057671326
2.8857405,0.010891465
0.0006420243,0.0059649893
2.3676364,0.0100586265
0.0,0.024159202
0.0,0.004544935
9.864484,0.01382669
0.0,0.008051079
0.0,0.01793697
0.0,0.0062403763
0.0,0.0062054517
0.10515873,0.0057006483
0.20370224,0.0055235117
0.0,0.0051811244
0.31600383,0.006470813
0.056782335,0.0151193235
0.100324176,0.0059948224
0.0,0.006967612
0.0,0.0072398395
0.109479085,0.006174169
0.09321946,0.0061788587
0.0,0.006443508
0.0,0.04007297
0.0,0.007203803
1.305483,0.008780589
0.2897126,0.005277899
0.0,0.0043317075
0.0,0.004510616
0.17311731,0.005671752
0.87508595,0.01752381
0.21945313,0.0063087507
0.38631558,0.0069165607
0.0,0.0071532372
0.162701,0.006513747
0.0,0.012383371
0.51418746,0.0047746417
1.2283475,0.015126692
0.5977507,0.0046993704
0.21377558,0.004799104
0.0,0.0065387413
0.38965425,0.006398532
0.0,0.0052389205
0.0,0.008287024
0.1873123,0.0053779534
0.5404831,0.012060402
0.12857167,0.005560141
0.0,0.0062363073
1.2064579,0.013895606
0.65035826,0.005305119
0.60051376,0.0041134437
0.053700123,0.0055947686
0.0,0.0138823595
1.4261959,0.0063717845
0.383432,0.004819059
0.73931634,0.0059342477
0.073255174,0.005486586
0.22604395,0.005627659
0.03750132,0.004668198
0.13963437,0.006035819
0.0,0.00623106
0.0,0.006847635
0.0,0.01292188
0.17834117,0.005570101
0.24582146,0.0055459235
0.0,0.022250945
0.09104234,0.0056363856
0.0,0.016249789
0.0026286026,0.0056024473
0.1957226,0.005595281
0.8490464,0.0044363467
0.17700633,0.0047869757
0.0,0.004673007
0.005185316,0.006008436
0.017981984,0.005797875
0.28629598,0.0050750272
0.0,0.006762742
0.0,0.0060072737
0.0,0.01571785
0.010707198,0.00626656
1.7453065,0.008694177
2.2455509,0.009201633
0.7649435,0.0033122504
0.0,0.004626847
0.0,0.030091396
0.8974778,0.0037813503
0.0,0.010845639
0.26466927,0.0042508356
0.18157147,0.0033214374
0.0,0.0070245103
1.8785355,0.0056304233
0.0,0.0060687168
0.021709464,0.0052687936
1.3611819,0.010432235
0.2303874,0.005928445
0.064009696,0.0070666852
0.6022669,0.0039727283
0.8917181,0.0026723677
2.166006,0.011029763
0.71517414,0.010655675
0.12315268,0.0062140543
0.592866,0.004122114
0.09538675,0.006849855
0.0,0.0062876046
17.426693,0.008885307
0.0,0.0069432706
0.005957698,0.06897347
0.5560044,0.0051835426
0.3048498,0.013146235
0.0,0.00395291
5.314754,0.0065906146
0.41596723,0.004744907
0.17165776,0.00613704
0.0,0.034568414
0.353936,0.005030343
3.5943313,0.012120499
0.0,0.029845212
0.23079613,0.0051887543
0.27342016,0.0054269405
0.07509044,0.0069965986
0.8599386,0.004834316
0.5249097,0.0046448386
0.0,0.017122792
0.0,0.012417075
0.27545553,0.0055103656
0.41184804,0.0050942567
0.0,0.0078777
0.06066786,0.0055117286
0.35199925,0.0051167193
0.0533321,0.00606903
0.199605,0.00541978
0.66750413,0.0052261483
0.3419671,0.0079152025
0.0,0.00566248
0.05742379,0.005018786
0.040079124,0.00458493
0.16808222,0.0059910277
0.34711918,0.0044315807
0.049307708,0.005866571
0.42994392,0.0043522436
0.046093643,0.0066926694
0.0,0.005523096
0.38959906,0.0036591208
0.15374133,0.004370227
1.7535863,0.004326784
0.1255377,0.006702494
0.37448665,0.005991326
0.18361336,0.006236918
0.0,0.005575155
0.4562824,0.004508785
2.1770253,0.0062717786
0.49104184,0.004250852
0.0,0.007199187
0.22826822,0.0045987098
0.6599498,0.004125541
0.0,0.009827295
