Time Since Last Major Merger [Gyr],Number of Major Mergers,Number of Minor Mergers,average stellar age [Gyr]
8.21393431111962,4.0,3.0,7.010379089045497
11.472636476156389,1.0,3.0,6.884039012924357
10.228946019806829,6.0,5.0,8.376799853840783
7.790641621123916,8.0,1.0,6.861615577376375
6.829554589521826,5.0,4.0,6.296888382283924
8.559304846246299,3.0,2.0,6.498751217006709
3.693728374563479,4.0,1.0,6.334354106717285
13.230111772921886,2.0,3.0,9.393299209911792
11.903627662592406,4.0,2.0,8.081415019246979
8.356294756117382,4.0,0.0,6.614403520273335
9.92715903124954,7.0,1.0,8.024708116121918
4.126382949614405,4.0,5.0,5.788318295121799
9.017171205041503,5.0,3.0,5.03645337093146
1.2972064222772546,5.0,2.0,4.663222975329255
12.031032769266922,4.0,6.0,7.788485806860438
5.410432554332628,6.0,4.0,5.5473261602415125
4.61076233003753,2.0,5.0,7.19650047823406
5.060286141005806,5.0,5.0,7.525399405814725
1.4173900744546557,4.0,3.0,9.21083401997026
1.0518636497159117,3.0,3.0,5.374272767548026
4.914126740144443,7.0,9.0,6.062718458104116
11.56482052958491,3.0,1.0,8.25229087726072
13.8,0.0,5.0,6.3852840630761305
3.870100791557793,11.0,7.0,7.874147378243185
10.398502407966777,2.0,3.0,5.169473159994762
5.989919683560276,5.0,3.0,6.1456357767800585
9.389280682850277,2.0,5.0,6.43880150437556
4.914126740144443,5.0,5.0,5.886866832245721
8.688041270237905,7.0,6.0,8.961985618381085
12.62066479053492,5.0,2.0,6.650671247497846
13.056632387368863,2.0,2.0,7.577378941219604
3.9566148760250575,2.0,2.0,8.183975722156793
8.841999739310916,6.0,3.0,8.300917664797364
0.9266483383810105,5.0,6.0,6.257834087681297
11.317040961531216,4.0,1.0,7.8820887401658775
11.766835879457043,3.0,3.0,8.329583816712518
5.202907732559084,4.0,5.0,6.058472261991232
12.55480493374341,4.0,2.0,9.11391434472552
6.829554589521826,4.0,4.0,8.7834027699261
12.698000090258518,1.0,5.0,6.61230677470812
4.914126740144443,3.0,9.0,5.360147649383796
10.083061130481992,4.0,9.0,6.463322561882153
5.202907732559084,10.0,4.0,8.268162634717797
5.61056555205565,5.0,4.0,8.117561054012047
2.841325664222045,3.0,3.0,5.975056185732189
