Time Since Last Major Merger [Gyr],Number of Major Mergers,Number of Minor Mergers,average stellar age [Gyr]
6.98087446663476,4.0,1.0,8.756595866535573
4.914126740144443,6.0,4.0,6.599017315367289
12.698000090258518,4.0,2.0,9.502079797506713
3.870100791557793,4.0,2.0,6.211354033063459
5.202907732559084,5.0,3.0,5.9932779761615995
3.1365850089211675,6.0,1.0,4.6892768290835924
7.950232596370229,3.0,3.0,4.765299727191648
7.1271910119321165,3.0,3.0,9.602215164441601
11.164723670049518,3.0,8.0,6.670143409934009
5.989919683560276,4.0,2.0,5.873539470424111
6.343349487178175,3.0,3.0,5.6648174040928705
8.559304846246299,4.0,5.0,7.591720808507495
7.314853196564868,11.0,4.0,6.601116005648185
11.903627662592406,4.0,6.0,5.406774886305362
11.903627662592406,2.0,5.0,7.42993518659813
5.410432554332628,3.0,4.0,6.056625827699666
4.914126740144443,14.0,7.0,8.967530322539323
3.1365850089211675,3.0,5.0,6.292736939769381
7.950232596370229,3.0,5.0,8.565850613544864
10.228946019806829,3.0,6.0,6.522769760384487
11.472636476156389,4.0,2.0,5.157410060589871
3.1365850089211675,7.0,4.0,5.943002132511811
8.688041270237905,3.0,4.0,6.847657455917469
7.950232596370229,4.0,3.0,7.043097375563535
3.420547659840111,7.0,2.0,5.387597194459575
12.977660855576495,3.0,5.0,8.25512802000637
8.06560019250075,3.0,4.0,8.004794330307242
6.673014217597259,7.0,2.0,7.521470750253573
2.7403023795756303,2.0,0.0,7.343603254051783
5.989919683560276,5.0,7.0,6.753822854715835
0.001,15.0,7.0,8.574081039387416
9.78178393942305,1.0,2.0,7.344889360035769
2.5342256999883768,8.0,2.0,7.086972889886939
8.559304846246299,8.0,10.0,6.959302437158046
5.410432554332628,7.0,5.0,5.725212629129247
8.559304846246299,5.0,2.0,7.461674558675392
12.804875891454154,3.0,6.0,8.820504589462391
8.06560019250075,6.0,5.0,8.860961996127628
13.230111772921886,1.0,4.0,9.150682974238407
9.627308552926124,5.0,4.0,8.340230788319648
11.007950132808553,6.0,3.0,7.267380639635435
9.627308552926124,4.0,0.0,8.751494737286675
11.766835879457043,2.0,4.0,6.984248942894408
7.450283783623472,7.0,1.0,7.89652564591913
9.462953435380172,4.0,6.0,8.298241251458148
9.155686374365665,3.0,1.0,8.537024363128356
5.866461537501614,11.0,3.0,7.071708620755644
8.688041270237905,5.0,2.0,7.347460553410048
3.512781268699348,3.0,4.0,9.994477115783086
11.317040961531216,5.0,3.0,7.714691483456654
12.698000090258518,3.0,4.0,8.06932352516732
11.903627662592406,3.0,7.0,6.508295659135511
8.356294756117382,4.0,2.0,6.16283519116713
13.8,0.0,0.0,7.152366237579906
9.155686374365665,6.0,4.0,9.590204521092938
12.031032769266922,4.0,3.0,8.532138790050404
13.8,0.0,2.0,6.688360968943721
3.870100791557793,4.0,5.0,7.650985047003497
8.688041270237905,3.0,3.0,9.077752050439182
8.688041270237905,5.0,3.0,6.762081073767963
12.259335340432736,1.0,5.0,6.218630749684964
12.55480493374341,3.0,2.0,9.457853507594166
13.104017017822397,2.0,6.0,6.257834087681297
13.8,0.0,3.0,9.299584001878422
12.698000090258518,4.0,6.0,8.366492602911636
11.766835879457043,7.0,3.0,7.122043886558287
4.126382949614405,5.0,0.0,5.153320435793908
12.894981355405132,7.0,1.0,6.30248050586171
3.870100791557793,2.0,5.0,6.2106261795163995
8.06560019250075,4.0,5.0,7.76478135115085
12.361172370658442,2.0,2.0,6.964263930594607
5.61056555205565,6.0,4.0,6.902004788637249
0.6709845706668234,1.0,5.0,7.874747017726446
4.61076233003753,2.0,6.0,7.499592994953797
3.420547659840111,9.0,3.0,7.804851802423269
7.5813644077819715,3.0,2.0,7.14034942642839
11.472636476156389,3.0,3.0,6.275210030166874
10.71425401075792,4.0,12.0,8.371230525466368
3.9566148760250575,6.0,2.0,9.143008646790602
12.031032769266922,6.0,1.0,8.409284861380309
13.010124756583883,3.0,3.0,8.34596715268383
10.228946019806829,9.0,9.0,8.79432484363713
3.9566148760250575,3.0,5.0,8.15711426922445
0.6709845706668234,3.0,4.0,9.140082103748838
13.14922900936169,1.0,0.0,6.665974375309222
11.903627662592406,2.0,4.0,8.983378059463536
4.914126740144443,5.0,3.0,7.134416987249435
8.06560019250075,6.0,2.0,7.72999922933019
1.6529178379808374,9.0,5.0,6.626973255557913
12.031032769266922,4.0,1.0,9.288693183508446
9.155686374365665,9.0,6.0,8.281736501062499
6.98087446663476,5.0,3.0,8.788346400123466
