Mass Oxygen / Star mass,Mass Hydrogen / Star mass,Mass of Galaxy [Msun]
0.00041286746,0.24037306,6543519000.0
0.00042944506,0.24034539,3300648000.0
0.00043386786,0.24040842,2483165200.0
0.00042255144,0.2404363,2015651600.0
0.0004260114,0.24033289,1970011300.0
0.00043716986,0.24039702,1937425800.0
0.0004466903,0.24032268,1799044400.0
0.00041017027,0.24026793,1707391900.0
0.00041189286,0.24030934,1686763600.0
0.00041466896,0.24036077,1690948400.0
0.000434839,0.24034682,1528032800.0
0.00044725568,0.24033175,1385734400.0
0.0004087423,0.24025053,1223426700.0
0.00042296012,0.24036673,1133089500.0
0.0004125772,0.24037497,937793340.0
0.0004373012,0.24035054,900762430.0
0.0004398245,0.24031626,829732500.0
0.00041267244,0.24036473,794077400.0
0.000414428,0.24036738,679205400.0
0.00044153308,0.24040058,684233200.0
0.0004152007,0.24029467,638168700.0
0.00044599563,0.24034256,469981380.0
0.00043790863,0.2403304,405799650.0
0.00044388077,0.24046981,355763420.0
0.00041742838,0.24034862,304143870.0
0.00041904542,0.24033143,220483020.0
0.00042523953,0.24026042,6736095000.0
0.00043033293,0.24032038,4391814000.0
0.00042472777,0.24031426,4338912000.0
0.00040926773,0.24034058,3400393200.0
0.00041295265,0.24029207,2970015200.0
0.0004287822,0.24032396,2537675500.0
0.00042045905,0.24030538,2438714600.0
0.0004439136,0.24036857,2138117500.0
0.00043149485,0.2403208,2060436600.0
0.0004187773,0.24036834,2043900400.0
0.00042295462,0.24037914,2008680600.0
0.00043330586,0.24034357,1710572000.0
0.00041793424,0.24023613,1500649900.0
0.0004314326,0.2403954,1467332200.0
0.00041167706,0.24032705,1389403600.0
0.00042763425,0.24035172,1292770700.0
0.00042362142,0.24034224,1076326700.0
0.00044752503,0.2404081,1073704100.0
0.0004208349,0.24036418,998414660.0
0.00041882726,0.2403512,980499200.0
0.0004414121,0.24034014,703697700.0
0.00042181305,0.24031918,13959333000.0
0.00042721417,0.24033286,9372389000.0
0.0004095096,0.24033375,9029744000.0
0.0004395818,0.2402467,5326489600.0
0.00040880474,0.24032089,5125770000.0
0.00044647898,0.240356,3883548700.0
0.0004158413,0.24031983,3039345400.0
0.00041186862,0.24029726,2742483700.0
0.0004420289,0.24040958,2535735800.0
0.00042744508,0.24037842,2491117000.0
0.00041788476,0.24033491,2170291200.0
0.0004396609,0.24032323,1658752800.0
0.00041334692,0.24034521,1613063400.0
0.00043381017,0.24036369,1294856600.0
0.00043280577,0.2403952,1002061100.0
0.000443192,0.2403269,886524740.0
0.00041190584,0.24044484,713809800.0
0.0004479032,0.24039218,198482380.0
0.000431637,0.24034667,6483363000.0
0.00041656732,0.24033287,4612005000.0
0.00044500962,0.24030486,4382983700.0
0.0004442469,0.24027462,2853759200.0
0.00041107743,0.24046257,2106620800.0
0.00041342055,0.2402572,2086432800.0
0.0004372722,0.24036363,1925455900.0
0.00041873872,0.24037719,1840717400.0
0.00042031592,0.24032462,1720021100.0
0.0004314509,0.24037509,1448031200.0
0.0004216761,0.24040875,1239501300.0
0.00043791678,0.24028723,1043451400.0
0.00042551974,0.2402339,904141600.0
0.0004291315,0.24049008,791612700.0
0.00043681145,0.24027996,726170400.0
0.00041901245,0.2402502,547627140.0
0.00043204144,0.2404471,4545927000.0
0.00044442154,0.24035619,3991399700.0
0.0004235023,0.24034272,3778864600.0
0.0004287725,0.24034491,2778844700.0
0.00044593718,0.24029726,2068998400.0
0.00042986363,0.24044295,1993792800.0
0.00041950223,0.24036369,1824972400.0
0.00041747993,0.24026807,1787936100.0
0.00043120017,0.24037966,1498958300.0
0.00041513308,0.24035855,1031208640.0
0.00043835782,0.24050686,799798300.0
0.00041020865,0.24036083,616191940.0
0.0004361152,0.2403639,5698028000.0
0.0004090052,0.24033818,2243991300.0
0.0004139443,0.24033211,2139168300.0
0.00042216983,0.2404056,2026239500.0
0.00041352154,0.24035616,1778855300.0
0.00044579484,0.24034138,968062100.0
0.0004173446,0.24034193,852809100.0
0.00043245492,0.2403374,838725250.0
0.00044073752,0.24030349,426988830.0
0.00043543,0.24032322,13766520000.0
0.00041450182,0.24027707,11053208000.0
0.000427286,0.24032441,5594319400.0
0.00041325885,0.24031347,5076329000.0
0.0004371723,0.24038763,3636102000.0
0.0004204308,0.24026135,3411501600.0
0.0004317878,0.2403433,2596941000.0
0.0004238322,0.24030615,2238016300.0
0.00042980068,0.24039856,2143664500.0
0.00042482177,0.24034151,2073436200.0
0.0004340937,0.2403269,1711097900.0
0.0004478831,0.24038166,1676276000.0
0.0004151641,0.2403644,1544251600.0
0.00041197162,0.240413,1177136900.0
0.00043592148,0.24035154,1072024260.0
0.00044034852,0.24026251,1010413250.0
0.0004202245,0.24037008,872657000.0
0.0004450219,0.24041712,873663550.0
0.0004436516,0.24025942,195625820.0
0.00043326273,0.24036014,14672775000.0
0.00043347137,0.24025773,8043110400.0
0.00041005152,0.240283,4353817000.0
0.0004333523,0.24026357,2892820000.0
0.0004238439,0.24027865,1878325900.0
0.00044068848,0.24038698,1653740400.0
0.00041388907,0.24042405,1045834100.0
0.000428252,0.24039397,881023600.0
0.0004424414,0.24034235,783972350.0
0.00042137265,0.24037454,742331260.0
0.00044747113,0.24037,702042100.0
0.00042372895,0.2402989,433257630.0
0.00043775988,0.24038051,190855950.0
0.00044621454,0.24034995,7628147000.0
0.00044626772,0.24043997,8532942300.0
0.00041497627,0.24040405,3291453200.0
0.00042091563,0.2403048,2440429600.0
0.00042073248,0.24044229,1877884000.0
0.0004294668,0.24032658,1725297200.0
0.00043704297,0.24043967,1576191000.0
0.00042557492,0.2403338,1520718100.0
0.00043676412,0.24032116,762514200.0
0.00042215493,0.24037732,7405953500.0
0.00042573092,0.24037108,3864832000.0
0.00044126235,0.24032837,1984586500.0
0.00042962076,0.24037036,1937966000.0
0.00043233254,0.24042472,1842488200.0
0.00044006656,0.24045536,1455289700.0
0.00041570765,0.24037413,1261405700.0
0.00043198478,0.24042325,1131610200.0
0.00044504972,0.24047987,972565200.0
0.0004410695,0.24029434,950747650.0
0.0004444918,0.24054304,835816900.0
0.00044753627,0.24038485,5474860500.0
0.00041521,0.2403873,5484048400.0
0.00042033382,0.24027626,1835600500.0
