Mass Oxygen / Star mass,Mass Hydrogen / Star mass,Mass of Galaxy [Msun]
0.00042823414,0.24026899,3296740400.0
0.00043584566,0.24035291,3246109200.0
0.00042216684,0.24032563,3029694700.0
0.00042550103,0.2402931,2563439600.0
0.00042185182,0.24040566,1667266000.0
0.0004098461,0.2403305,969187200.0
0.0004382355,0.2402765,921454460.0
0.00043927773,0.24027163,642111900.0
0.00041715286,0.24036592,224765200.0
0.00042178817,0.24033862,3104919600.0
0.00044595255,0.2403625,1918493000.0
0.00043377446,0.24029331,1770538000.0
0.00042345846,0.24029373,1630207900.0
0.00043027062,0.24037807,1146405900.0
0.00041809757,0.2403026,757145300.0
0.00043922316,0.2404016,756448700.0
0.00042382992,0.24030702,444188320.0
0.0004142026,0.24036202,8598107000.0
0.00044209973,0.24034281,1974130700.0
0.0004198872,0.24037471,1690956900.0
0.00042193377,0.24035801,1511527800.0
0.00043818864,0.24034539,1069519740.0
0.00042291472,0.24036627,435758880.0
0.000438841,0.24036872,2394050600.0
0.00044520304,0.24035142,2195952600.0
0.000427664,0.24030522,1148498800.0
0.00043930812,0.24026412,1079456000.0
0.00040943347,0.24026781,781337000.0
0.0004138969,0.2403035,4420637700.0
0.0004113097,0.24036399,1339878700.0
0.00041068284,0.2403004,1175457400.0
0.00041972776,0.24030949,1845106400.0
0.00043756908,0.24024858,701317950.0
0.0004285839,0.24037367,351015260.0
0.0004123651,0.24031323,2971047400.0
0.00041701872,0.24029383,1853462500.0
0.000419307,0.24026659,2029467600.0
0.00044115842,0.24032055,1374943000.0
0.00041888194,0.24032123,1208579800.0
0.00044361572,0.24035086,979913200.0
0.00042019418,0.24032617,746132030.0
0.00042109168,0.24030074,587316600.0
0.00041233425,0.24028113,8992583000.0
0.00043809894,0.24031629,5362430500.0
0.00041303033,0.24037974,4308400600.0
0.00044440577,0.24032488,2043312300.0
0.00041902284,0.24033408,786334100.0
0.00041312608,0.24033405,814692700.0
0.0004215754,0.24027257,350339800.0
0.00044744636,0.24027584,3594882600.0
0.00044700416,0.24029364,2433454800.0
0.0004403376,0.2404188,3837045500.0
0.00042262932,0.24036321,2453689300.0
0.0004270474,0.24029739,2100795300.0
0.00041334666,0.24030124,441764220.0
0.0004184048,0.2402999,5090443300.0
0.00041341284,0.24032553,3813129700.0
0.0004098727,0.24036732,4066891800.0
0.00041416168,0.24034116,579191000.0
0.00043066035,0.24032074,472221730.0
0.00042256244,0.2402849,405406460.0
0.00041858238,0.24039721,5147689000.0
0.0004451108,0.24027696,4182843600.0
0.00043989485,0.24027422,1182710400.0
0.00043933644,0.24034904,398415550.0
0.0004462473,0.24034393,7558947000.0
0.00041897543,0.24031034,2282839000.0
0.00041199973,0.24031737,1345017700.0
0.00044658684,0.24024464,629538750.0
0.00043988117,0.24034505,297466900.0
0.00043564962,0.2402712,5340730000.0
0.0004220031,0.24036261,1349365000.0
0.0004150721,0.2402942,536496600.0
0.00043503466,0.24031109,188704160.0
0.00041330935,0.24041915,5493818000.0
0.00044628215,0.24033459,2370896000.0
0.00043548006,0.24034038,1117244700.0
0.00044329403,0.24046092,888576600.0
0.0004252397,0.24032828,2632050400.0
0.0004478425,0.24042659,1837717600.0
0.00043194412,0.24029744,688620400.0
0.0004220504,0.24029092,13305482000.0
0.0004349222,0.24032567,3187513300.0
0.00041337343,0.2404402,2786185500.0
0.00043820255,0.24047835,614952500.0
0.00043132377,0.24037063,501834340.0
0.00043961414,0.2403503,3983135000.0
0.00042434369,0.24034747,588677700.0
0.0004231436,0.24044815,139062560.0
0.000432096,0.24034132,3815564300.0
0.0004330136,0.24032237,327416350.0
0.00043121175,0.2403113,239339250.0
0.00043371134,0.24028268,1731761800.0
0.00043457237,0.24029264,2641916700.0
0.00042903982,0.24034825,2182913500.0
0.0004097433,0.24034235,643983800.0
0.00044004642,0.24031265,131959700.0
0.00041412725,0.24039906,3824988700.0
0.00041666703,0.24037282,2726308400.0
0.00042563738,0.24035537,965633500.0
0.00042544323,0.24039721,2721401300.0
0.00041098916,0.24037094,2260511000.0
0.00044198436,0.24039438,714895500.0
0.00042652548,0.2403281,483873060.0
0.00043497543,0.24032673,198253820.0
0.00041585354,0.24032608,2527990500.0
0.00041064242,0.2403628,894846100.0
0.00042531942,0.24030824,2703959800.0
0.00042868344,0.24037139,1047262400.0
0.00041925098,0.24023126,760635840.0
0.00041452417,0.24031322,728552600.0
0.0004459149,0.24031307,2689994800.0
0.00043662207,0.24032058,7640595000.0
0.0004433389,0.24038036,1299379500.0
0.00040912992,0.24030069,4314641400.0
0.00043375866,0.24038105,1710072600.0
0.00041200957,0.24045129,2028859100.0
0.0004238202,0.24029799,1613084400.0
0.0004335859,0.24037324,1041124300.0
0.0004286107,0.24028254,326172130.0
0.0004179467,0.24025427,5887967000.0
0.0004179067,0.24036263,1219005300.0
0.0004092735,0.24035381,1117929000.0
0.00043699003,0.24034728,580411500.0
0.0004365816,0.2403925,563284350.0
0.00041924627,0.24028704,255290910.0
0.00041684392,0.24027297,194457440.0
0.00041179836,0.24036743,584343600.0
0.0004242885,0.2402637,643943040.0
0.00042624725,0.24027404,7360200000.0
0.00043178684,0.24039333,883686850.0
0.0004403062,0.24028616,3424144600.0
0.0004405115,0.24031557,1421569500.0
0.00044682756,0.24030891,504965380.0
0.0004429184,0.24038431,3898076000.0
0.00042234594,0.24029422,1238294400.0
0.00043696107,0.24032886,4309036000.0
0.00041312657,0.2403009,1163057200.0
0.0004169267,0.24026693,1068241900.0
0.0004471226,0.24033265,2287078000.0
0.0004244144,0.2403126,842488260.0
0.00044593963,0.24030471,1251183900.0
0.0004160059,0.24039352,1206432800.0
0.00043256115,0.240403,933908500.0
0.00040880116,0.24035051,203710300.0
0.00043925588,0.24027257,6354347500.0
0.00042888478,0.24045798,1299875500.0
0.0004362504,0.24024129,876073000.0
0.00040969058,0.24029873,522214080.0
0.00041369005,0.2403354,3309898200.0
0.0004196505,0.24027655,2255443200.0
0.00042451627,0.24030235,5495585000.0
0.00041465551,0.24029666,2557899800.0
0.0004291716,0.2403579,1181817300.0
0.00044628733,0.24041164,972567800.0
0.00041661382,0.24032938,4062020900.0
0.00041711668,0.24027194,1412720900.0
0.00043796343,0.24041641,1037667100.0
0.00041695047,0.2402637,505266500.0
0.0004245383,0.24038978,405952300.0
