Mass Oxygen / Star mass,Mass Hydrogen / Star mass,Mass of Galaxy [Msun]
0.00044221498,0.240241,6308576000.0
0.00042517993,0.2402519,2998988800.0
0.0004110686,0.2403419,1784635800.0
0.00043798072,0.24027637,1158516400.0
0.00042295502,0.24039833,153528100.0
0.00042400628,0.24034032,4764244000.0
0.0004182869,0.24027789,2250750500.0
0.0004235738,0.24031408,1656740900.0
0.00041781188,0.24025857,1486023200.0
0.00041352242,0.24032937,1082501800.0
0.00042616288,0.24034348,1061001200.0
0.0004231673,0.24036779,915806660.0
0.00042941445,0.24031103,659908700.0
0.00042080594,0.24035767,340871170.0
0.0004318754,0.24024315,9820900000.0
0.00041831456,0.24033824,4495990300.0
0.0004387083,0.24030557,3018916000.0
0.00042223188,0.24033292,755504900.0
0.00044210837,0.24029057,3263714600.0
0.0004144039,0.24029419,3492014800.0
0.0004161332,0.24031071,3207308000.0
0.00042711053,0.24037914,1326889300.0
0.00040872218,0.24024475,1261013200.0
0.00044283702,0.24034609,1161622500.0
0.00040912704,0.2403,889947260.0
0.0004262682,0.24028037,585389250.0
0.00041427353,0.24028137,522864640.0
0.0004155756,0.24036777,1196383200.0
0.0004146245,0.24028854,915397760.0
0.00042374595,0.24021752,569742140.0
0.00041724148,0.24032365,531232640.0
0.00043427575,0.24033952,425954020.0
0.00043225242,0.24023198,217388540.0
0.0004427879,0.24026191,1167063900.0
0.0004185358,0.24037896,507489920.0
0.00042132245,0.24035215,506460130.0
0.0004119832,0.24024501,491245950.0
0.0004361471,0.24035372,433711970.0
0.00041991196,0.24053048,1747386000.0
0.0004214857,0.24029809,2668224000.0
0.00044103496,0.24034597,203160420.0
0.00042743934,0.24025072,2735983400.0
0.0004185988,0.24033551,2449959200.0
0.0004419056,0.24032682,1390752600.0
0.0004315087,0.24024439,1290088300.0
0.00044699854,0.24031036,1015968900.0
0.0004341801,0.24033616,5540147000.0
0.00041858968,0.24034429,1003441700.0
0.0004373795,0.24035837,845005900.0
0.00042270965,0.24037679,707807500.0
0.00044113243,0.24032784,313633150.0
0.00044585665,0.24040225,289135040.0
0.00044254152,0.24031661,4820329000.0
0.00041469152,0.24039318,1362739600.0
0.00040999393,0.24038178,1851763500.0
0.00042778734,0.24028608,1469407200.0
0.00041178046,0.24030332,1303181600.0
0.00044461244,0.24016531,412641950.0
0.0004351255,0.24031112,224678220.0
0.00043005295,0.24035907,734590600.0
0.00043766995,0.2403866,3216538600.0
0.00044680684,0.24033207,5003653600.0
0.00042454002,0.24026084,2193963800.0
0.00043500625,0.24028024,12592769000.0
0.00042010326,0.24030489,2763609300.0
0.00041940727,0.24033733,1329433600.0
0.00041138366,0.24031515,1162839200.0
0.0004331545,0.24033833,686897200.0
0.00044212234,0.24037498,359056600.0
0.00041226868,0.24030593,710012540.0
0.00042092876,0.24028255,233983950.0
0.00043500905,0.24026772,1605205600.0
0.00044494652,0.24039724,1320362400.0
0.0004398527,0.24040413,945713500.0
0.00043123827,0.24036627,545391500.0
0.0004430605,0.24035707,1377527600.0
0.0004125381,0.24027015,1344463200.0
0.00044222607,0.24042997,925574300.0
0.00043390135,0.24026646,790025200.0
0.00041734893,0.24031422,398407000.0
0.00042868388,0.24039248,707870660.0
0.00043735604,0.24033134,598456450.0
0.00041423138,0.24044904,262552320.0
0.0004465589,0.24027742,2773855200.0
0.0004193212,0.24027288,1731017000.0
0.000413238,0.24042054,620412900.0
0.00044476884,0.24026613,3886951200.0
0.0004404522,0.24027453,2094935800.0
0.00043927453,0.24033745,807882300.0
0.00041585192,0.24032338,699336600.0
0.00042039045,0.24028066,606005000.0
0.0004331206,0.24032249,478311680.0
0.00042286405,0.24030799,2530626300.0
0.0004221449,0.24026999,426961280.0
0.00042704924,0.24026956,1923206400.0
0.00042997854,0.24033909,1008262500.0
0.00041878026,0.2403046,5548045000.0
0.00044094474,0.24036379,4821276000.0
0.00042717674,0.24031946,578538600.0
0.00043030598,0.24026105,3081372000.0
0.00041989214,0.2403546,659132350.0
0.00041491314,0.24022347,441644400.0
0.0004373141,0.24021097,454367460.0
0.0004157883,0.24029815,587840450.0
0.00043063462,0.24037343,2476612600.0
0.00041533523,0.24024755,6331447300.0
0.00043643286,0.2403173,3629874000.0
0.00040876228,0.24031797,1922573700.0
0.00041987048,0.2403087,1635811100.0
0.0004095624,0.24031961,2689992000.0
0.00044631943,0.24043679,2065396400.0
0.00042711856,0.24028969,4960137000.0
0.00042785902,0.24032971,1730554900.0
0.000443961,0.2401628,727228860.0
0.00042062215,0.2401429,1848718300.0
0.0004289775,0.2402702,642539840.0
0.00042522358,0.2402621,5258062300.0
0.00043792126,0.24032055,521423460.0
0.0004462538,0.24038629,1326904300.0
0.000446221,0.24043432,2771627800.0
0.00043961906,0.24031097,5927023600.0
0.00042983235,0.24022003,1973539500.0
0.00044058825,0.240255,1518071000.0
0.00044705597,0.24039759,3960297500.0
0.0004252593,0.24040966,814990000.0
