Mass Oxygen / Star mass,Mass Hydrogen / Star mass,Mass of Galaxy [Msun]
0.00041710056,0.24031919,12453219000.0
0.00040914162,0.24032003,12020819000.0
0.00041107408,0.2403824,10656072000.0
0.00041408103,0.24033807,8238952000.0
0.00044423598,0.2404013,6726464500.0
0.0004209862,0.24027024,6232531500.0
0.0004466466,0.24042115,5114857000.0
0.00043860322,0.24040459,5066081300.0
0.0004277636,0.24045545,4982249000.0
0.00043668045,0.24035347,4423343000.0
0.00041328778,0.24038593,4211702500.0
0.0004226297,0.24024965,3702658800.0
0.00043319463,0.24034753,3632038700.0
0.000442578,0.2403903,3410882800.0
0.00043717492,0.24038053,3093532400.0
0.0004372564,0.2404766,2906237000.0
0.00042924553,0.2403125,2760097500.0
0.00040907934,0.24032426,2302587400.0
0.00043818803,0.24033217,1705967200.0
0.00044599074,0.24032219,1605086600.0
0.0004409166,0.2403376,1563988200.0
0.00043303784,0.24040751,1461716200.0
0.00040993045,0.24026778,1261052500.0
0.00041458858,0.24035746,1173057200.0
0.00043263857,0.24025643,1052205900.0
0.00044198972,0.24033558,1010285800.0
0.00042191744,0.24036555,866488700.0
0.00044088613,0.24035549,793512640.0
0.00043605323,0.24021642,772230340.0
0.0004180417,0.2402966,656596860.0
0.00044262785,0.24046828,470551680.0
0.00044293483,0.24030341,16354993000.0
0.00043949203,0.24034795,9148650000.0
0.0004190296,0.24038811,8150333000.0
0.0004291988,0.24035902,7444403700.0
0.00043322888,0.2404434,6020453000.0
0.00042335747,0.24038813,4979111400.0
0.00043996435,0.24053894,5030591500.0
0.00043971895,0.2403575,4586031000.0
0.00042010416,0.2403416,4183008000.0
0.00040979334,0.24029182,3489491000.0
0.00044495694,0.24034356,3312217600.0
0.00042414755,0.24039495,3300760800.0
0.00044468464,0.24031995,3250906000.0
0.00043930337,0.24051048,3128234200.0
0.00043866978,0.2403761,3012116000.0
0.00041864402,0.24030247,2780357400.0
0.0004476346,0.24040519,2789431600.0
0.000419718,0.24029323,2677349600.0
0.00042137236,0.24030863,2547384800.0
0.000408989,0.24038361,2181324300.0
0.00044580706,0.24039963,2096719900.0
0.00041358534,0.24032909,2036836700.0
0.0004432669,0.2403363,1971096200.0
0.00044614117,0.24031417,1877692900.0
0.00044796904,0.2404489,1869954600.0
0.00044340314,0.24027918,1618515600.0
0.0004183753,0.24036787,1469311600.0
0.00042158394,0.24040835,1244173000.0
0.00041171865,0.24032709,1231299800.0
0.00042131642,0.24029356,846574700.0
0.00042005972,0.24032108,786848400.0
0.00044789037,0.24040861,792590660.0
0.0004463887,0.24036908,774386600.0
0.00041858334,0.24025488,598896400.0
0.00043501522,0.24035442,490399140.0
0.00042517472,0.24044113,441774180.0
0.0004169011,0.24029788,5417600500.0
0.0004154887,0.24038927,5411814400.0
0.00042433405,0.24040237,4410725400.0
0.00041597275,0.24032676,3744933400.0
0.00043437514,0.2403342,3282295000.0
0.00041214822,0.24038368,3289202200.0
0.00041899865,0.24034189,2566017500.0
0.00044663576,0.24034387,1791082500.0
0.00043853358,0.24031977,1482272400.0
0.00043906466,0.24032243,1253255400.0
0.00041962904,0.2405349,1187551400.0
0.00043858032,0.2403504,822518900.0
0.00044130906,0.24023826,442027100.0
0.0004230683,0.24032249,6788825600.0
0.00044251952,0.24034837,6311060500.0
0.00043495448,0.24035242,6160328700.0
0.00042627112,0.24036011,4121920000.0
0.00044335716,0.24029352,3531281400.0
0.0004285192,0.24042027,3087094500.0
0.00042654885,0.24042603,3063816400.0
0.00043596188,0.24044636,3047697000.0
0.0004317441,0.24034537,2559220700.0
0.00043679163,0.24035792,2108704300.0
0.00041667483,0.2404257,1859421300.0
0.00041478773,0.24031149,1786136600.0
0.00042601445,0.24033608,1750423000.0
0.00042652138,0.24035527,1650846200.0
0.00044803566,0.24031727,1312499600.0
0.00042873228,0.24037105,1036075500.0
0.00042716894,0.24044323,1008942700.0
0.0004387868,0.24034499,981351100.0
0.0004101883,0.24027568,620643200.0
0.0004264129,0.2403042,548347200.0
0.0004231674,0.24035624,462898180.0
0.00041563538,0.24031354,11974508000.0
0.0004307069,0.24037738,10155303000.0
0.00043828666,0.2403275,9994803000.0
0.00043038526,0.24029997,9001943000.0
0.00042509486,0.24031013,7277432000.0
0.00044597223,0.2403543,5576992000.0
0.00042711137,0.24039279,4673212000.0
0.0004306258,0.24046986,3394064100.0
0.00041047164,0.24033074,3223358000.0
0.00041931457,0.2404077,2982129000.0
0.00043739867,0.24036905,2777107200.0
0.00042832587,0.24046679,2597341400.0
0.00042489765,0.24044673,2416998000.0
0.00044737206,0.24034028,2066224400.0
0.00043500136,0.2403698,1907555600.0
0.0004236262,0.24039662,1909952900.0
0.00042372072,0.24037823,1268811000.0
0.00042530213,0.24022938,962402100.0
0.0004172842,0.2403968,583798300.0
0.00043308616,0.2404524,425554340.0
0.00043444056,0.24032821,9958077000.0
0.00041504373,0.24048626,9577901000.0
0.00041783994,0.2404634,8090085400.0
0.00042240764,0.24039297,7202697700.0
0.00043808916,0.2403787,4161703000.0
0.0004440568,0.24038461,3741566500.0
0.00041148782,0.24031724,3530162700.0
0.0004140333,0.24035554,3487961000.0
0.00041194653,0.24035871,3363957000.0
0.0004199956,0.24030164,2309811500.0
0.0004314272,0.24044615,2065192700.0
0.00043706302,0.24029765,1917244400.0
0.00041658804,0.24031524,1733420400.0
0.00042170438,0.24032287,1457425000.0
0.0004200716,0.24026896,859050100.0
0.0004323785,0.24041691,760407740.0
0.0004432227,0.24049312,678814200.0
0.00041694968,0.24025947,602101400.0
0.00043934202,0.24037315,420675420.0
0.00043162456,0.24034724,433204600.0
0.00044253026,0.2406379,425672500.0
0.0004203241,0.24039511,9586941000.0
0.000443802,0.24030219,9134324000.0
0.00042284955,0.24032408,6735091700.0
0.0004211072,0.24021879,4923074000.0
0.0004163942,0.24044168,4171042600.0
0.00042307182,0.240491,3668930800.0
0.00042803795,0.2403542,2497678000.0
0.00042636576,0.24036832,2387602400.0
0.00043596703,0.24043217,2014462600.0
0.0004112944,0.24039729,1894376600.0
0.00042317872,0.24037495,1793053800.0
0.00043960108,0.24037422,1289089300.0
0.00041932552,0.24044082,1123773000.0
0.00043000333,0.24021618,959915500.0
0.0004090658,0.24041843,822201340.0
0.0004255343,0.24030872,712285700.0
0.00042385107,0.24028549,335252030.0
0.00044064812,0.24032335,8417786400.0
0.0004454198,0.24040247,6820762000.0
0.0004264356,0.24048086,3832148000.0
0.00044539146,0.24043596,2648595200.0
0.00041438354,0.24036814,2312464600.0
0.000413421,0.24035849,2261339400.0
0.00041563984,0.24037483,2253694000.0
0.0004409078,0.24040206,2208506600.0
0.00041221295,0.24030732,1635458700.0
0.00042484349,0.2403284,1432978700.0
0.00044686242,0.24027108,1189100400.0
0.00043300135,0.24041851,727782700.0
0.0004340037,0.24037711,312326300.0
0.00040979413,0.24029104,8948455000.0
0.00044278972,0.24036886,6279334000.0
0.0004353471,0.2403457,4950841300.0
0.00043486993,0.24036057,4747271000.0
0.00043179363,0.24034426,4226185200.0
0.00041691473,0.24029478,3288806000.0
0.0004290473,0.24038064,2959979300.0
0.00044198302,0.24031153,2763218400.0
0.00041989013,0.24034561,2014918400.0
0.00044672654,0.24038012,1732119000.0
0.0004108816,0.24046248,1725953800.0
0.00042320025,0.24032314,1475089400.0
0.00043824164,0.24027082,1285414400.0
0.00044791467,0.24049786,865237440.0
0.0004354957,0.24041496,7165730300.0
0.00041954854,0.24045566,7164409300.0
0.00042827995,0.24032913,6381214700.0
0.00043890876,0.24037164,5454644700.0
0.00042448175,0.24039371,4927025700.0
0.00041779908,0.24035223,2383741200.0
0.0004189451,0.24037378,2378126000.0
0.00043095078,0.24034269,2072610200.0
0.00042453295,0.24034113,1635281200.0
0.00042281742,0.24034736,1411670300.0
0.00041827504,0.24031746,1335402400.0
0.00041995497,0.24029054,1082867600.0
0.00043722594,0.24035445,769086340.0
0.00044002134,0.2404078,685323600.0
0.00042146628,0.24042548,657085060.0
0.0004390369,0.24026175,512403100.0
0.000447293,0.2404656,434242700.0
0.00042808635,0.24042787,7805558000.0
0.0004467434,0.24037546,6565104000.0
0.00041889184,0.24041894,2396741400.0
0.00044338958,0.24039753,2059952300.0
0.00041415752,0.24024794,1330817800.0
0.00042846738,0.24031807,1170319200.0
0.00041466145,0.24047998,1001310300.0
0.0004262027,0.24041575,837068540.0
0.00044208296,0.24041583,635547840.0
0.00042778772,0.24034542,612681500.0
0.00041540037,0.24041994,569041340.0
0.00042593566,0.24042547,514120000.0
0.0004452563,0.2402655,356391940.0
0.00043796358,0.24034248,11754419000.0
0.00042632443,0.24028404,6327844000.0
0.00041627695,0.24019593,6007053300.0
0.0004435731,0.2405278,5670500000.0
0.00043150966,0.24030703,5526032000.0
0.0004267094,0.24034688,2862633500.0
0.00043412115,0.24041596,2282094000.0
0.0004140202,0.24043216,2243795000.0
0.00043926862,0.24035858,1962426200.0
0.0004262906,0.24022606,1196645900.0
0.00042802494,0.24040101,1076647600.0
0.00043535637,0.24035856,13607639000.0
0.00043506402,0.24041077,6563494000.0
0.0004444976,0.24044237,5445255000.0
0.00043670053,0.24038889,4861252000.0
0.00043234875,0.24034461,4213506600.0
0.00043359376,0.24041243,2993294600.0
0.00042424686,0.24037643,1802410500.0
0.00043150882,0.24042398,1756229500.0
0.00041472254,0.2402892,1455847300.0
0.00042210834,0.24032612,1407867800.0
0.00043942258,0.24040106,1283899900.0
0.00043164496,0.2403821,1268861400.0
0.0004140592,0.24028659,1203502000.0
0.00043838331,0.24045359,1067378800.0
0.0004282409,0.24036913,1010273500.0
0.0004192121,0.24032453,792389200.0
0.00042263157,0.24032441,671533900.0
0.0004303114,0.24042161,483413220.0
0.00043513443,0.24039187,469766180.0
0.00043218184,0.24037035,18847742000.0
0.0004308443,0.24037802,14105900000.0
0.0004387492,0.24031049,5027321300.0
0.00041473884,0.24038698,3839414500.0
0.00041839614,0.24032632,3032435200.0
0.00041466826,0.24035378,2929291300.0
0.00042601413,0.24035592,2784399400.0
0.00042215883,0.24036731,2273869300.0
0.00041683312,0.24028867,1517921800.0
0.00042337496,0.24033608,1547434800.0
0.00041063983,0.2403561,1285028600.0
0.00042283436,0.24037527,945786560.0
0.00041756424,0.24028231,15137736000.0
0.00043567293,0.24037279,10367522000.0
