SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
0.7525146,0.011139304,0.009430847
1.4945426,0.01763771,0.0166386
1.3623031,0.012907865,0.014488631
0.8357914,0.009828409,0.011306816
0.76221704,0.016581813,0.01622612
0.0,0.016960429,0.0
0.4467391,0.01236999,0.011717658
0.8453655,0.010679337,0.008535671
0.69134617,0.014682677,0.020278957
0.4079139,0.010828889,0.009558185
0.17706871,0.014510249,0.015280462
0.10653099,0.018979428,0.030168522
0.06270257,0.014840779,0.024957506
0.9028585,0.011644393,0.011273998
0.0,0.019158017,0.0
0.0852608,0.008264376,0.009668082
0.02904881,0.0141942715,0.022268597
0.12325462,0.011263145,0.015636714
0.06476526,0.012695094,0.020684987
0.0,0.018938174,0.0
0.2913243,0.013380128,0.01741499
0.14471886,0.01031412,0.009395111
0.39625186,0.019759346,0.03719686
0.0,0.018654212,0.0
0.08241843,0.0075474936,0.006320733
0.029474763,0.016534762,0.03150512
0.0,0.017177112,0.0
0.1250265,0.010954743,0.007865971
0.0,0.011954722,0.0
0.0,0.017381767,0.0
0.07953419,0.013097788,0.022838667
0.023312839,0.012482114,0.039776634
0.0,0.018858004,0.0
0.0,0.01689235,0.0
0.0,0.02934831,0.0
0.0,0.018364994,0.0
0.012488157,0.0068527497,0.0055504055
0.34760922,0.008549421,0.009830719
0.07726365,0.0064032427,0.007409578
0.47632143,0.02129314,0.02219037
0.0,0.019693438,0.0
0.0,0.012235036,0.0
0.31158552,0.015520965,0.0146679245
0.0,0.015743522,0.0
0.06023011,0.003338539,0.0027263884
0.0,0.011409803,0.0
0.025484817,0.008776452,0.012255991
0.0,0.008207197,0.0
0.10080182,0.0070120045,0.0056225066
0.4561259,0.019088117,0.034918036
0.0,0.007870077,0.0
0.0,0.011537741,0.0
0.0,0.012494486,0.0
0.0,0.019984327,0.0
0.0,0.023626223,0.0
0.0,0.00968181,0.0
0.0,0.0118175065,0.0
0.0,0.009719411,0.014902625
0.0,0.013025227,0.0
0.013775663,0.00728158,0.010778088
0.0,0.011355736,0.0
0.0,0.016008548,0.0
0.0,0.006650819,0.0
0.0,0.0076163393,0.0
0.0,0.011464358,0.0
0.0,0.016526047,0.0
0.20328888,0.0063511785,0.0051883487
0.043392655,0.008830706,0.011036546
0.0,0.021243632,0.0
0.051156364,0.006739234,0.0075334576
0.0,0.015851974,0.0
0.0,0.007967185,0.0
0.0,0.024096254,0.0
0.0,0.020709237,0.0
0.0,0.010807621,0.0
0.0,0.011919706,0.0
0.0,0.0051039397,0.0
0.0,0.013529069,0.0
0.0,0.044886142,0.0
0.03894474,0.0082716895,0.007542018
0.0,0.030317409,0.0
0.0,0.017157404,0.0
0.0,0.006644962,0.0
0.0,0.014404072,0.0
0.0,0.0077935564,0.0
0.005344174,0.0047963243,0.0049380963
0.0,0.004006117,0.0
0.90465325,0.040015787,0.036771607
0.0,0.010986644,0.0
3.618617,0.049753614,0.06655897
0.0,0.007946927,0.0
0.0,0.015926419,0.0
0.0,0.013641884,0.0
0.0,0.0042836866,0.0
0.0,0.00794227,0.0
26.381338,0.042609558,0.052023575
7.3906584,0.043976255,0.04141276
0.0,0.008717958,0.0
0.0,0.010081324,0.0
0.0,0.011365664,0.0
0.0,0.00414627,0.0
0.0,0.015648562,0.0
0.0,0.00892146,0.0
0.0,0.0077848034,0.0
0.0,0.006696952,0.0
0.0,0.007992196,0.0
0.088031925,0.008474256,0.008956868
0.12791964,0.0066556633,0.007310752
0.0,0.035235792,0.0
1.5177836,0.046636615,0.056808934
0.0,0.040654708,0.0
0.0,0.024051093,0.0
0.0,0.021299003,0.0
0.0,0.020175112,0.0
0.0,0.010047673,0.0
1.3714423,0.050865818,0.05322063
0.0,0.0055384203,0.0
0.0,0.006436507,0.0
0.0,0.013841227,0.0
0.5511859,0.04137903,0.03140462
0.0,0.004003916,0.0
0.0,0.0067507755,0.0
0.0,0.053562008,0.0
3.0054176,0.033971958,0.033652753
0.0,0.0050368467,0.0
0.0,0.006216347,0.0
0.0,0.0057506673,0.0
0.0003871536,0.0042131077,0.0030883627
0.022130962,0.004721908,0.0041431086
0.025482614,0.007182117,0.005971535
0.0,0.0052986443,0.0
0.0,0.0017967261,0.0
0.04195698,0.006585055,0.007892253
0.0,0.0049777776,0.0
0.0,0.0055278973,0.0
0.0,0.0032024079,0.0
0.36867353,0.006458295,0.005173755
0.0,0.0014704979,0.0
0.0,0.0054198583,0.0
0.0,0.010336079,0.0
0.045094837,0.0040171053,0.0036158187
0.0,0.0053280266,0.0
0.0,0.012592312,0.0
0.06997668,0.012806368,0.021074831
0.0,0.011541372,0.0
0.0,0.009186183,0.0
0.0,0.0063278475,0.0
0.0,0.0037346547,0.0
0.0,0.006795784,0.0
0.0,0.00639196,0.0
0.0,0.005508794,0.0
0.045844723,0.003226117,0.0029048831
0.0,0.032859292,0.0
0.0,0.047359373,0.0
0.0,0.038466867,0.0
1.6575955,0.031920183,0.044615608
0.0,0.0010568468,0.0014432436
0.0,0.0021402373,0.0
0.0,0.005668701,0.0
0.0,0.007117236,0.0
1.0201375,0.04468821,0.052546583
0.0,0.0065786666,0.0
0.0,0.0018449955,0.0
0.0,0.0064983945,0.0
0.0,0.0015698908,0.0
0.0,0.0026004622,0.0
0.0,0.0027294538,0.0
0.0,0.010072383,0.0
0.0,0.006676478,0.0
