SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
0.80864996,0.009174307,0.004923691
0.41481087,0.0180917,0.030440656
0.6060308,0.016504012,0.021190342
0.0,0.016756507,0.0
0.5560162,0.011070649,0.0139169665
1.8916299,0.012169717,0.012539371
0.0,0.014099568,0.0
0.41515824,0.00804826,0.0067448304
0.0,0.012913281,0.0
0.29076546,0.009795571,0.011074854
0.0,0.018172886,0.0
0.24001095,0.009870813,0.010879032
0.0,0.019354412,0.0
0.0,0.013694058,0.0
0.0,0.01806025,0.0
0.41689834,0.012406889,0.020135345
0.0067463955,0.011707418,0.026648073
0.39220217,0.0045592235,0.003482362
0.48137996,0.023855241,0.032658916
0.0,0.012599626,0.0
0.0,0.01893153,0.0
0.03315309,0.007847847,0.012835722
0.0,0.011261078,0.0
0.0,0.015770962,0.0
0.10138562,0.010140912,0.015097764
0.0,0.02770208,0.0
0.15745573,0.008517522,0.008758463
0.0,0.014607951,0.0
0.0,0.0127475215,0.0
0.1905083,0.008476469,0.008548961
0.0,0.009191006,0.0
0.0,0.0118963905,0.0
0.36442927,0.022663925,0.035821605
0.0,0.014532071,0.0
0.0,0.013899603,0.0
0.0,0.057573788,0.0
0.0,0.010746032,0.0
0.0,0.007675006,0.0
0.083099484,0.0078520905,0.0052048755
0.057266176,0.004990305,0.0051943003
0.0,0.008942159,0.0
0.0,0.010782774,0.0
4.641076,0.03430186,0.042998996
0.0,0.06013074,0.0
0.0,0.01551626,0.0
0.094778426,0.0051905694,0.005700071
0.0,0.010600202,0.0
0.0,0.023520118,0.0
0.0,0.013397502,0.0
0.0,0.009050387,0.0
0.0,0.05092085,0.0
0.06711141,0.0064297947,0.0072352015
0.033384893,0.008211133,0.011059872
0.0,0.0128883775,0.0
0.026873779,0.005854915,0.00581567
0.0,0.04584979,0.0
0.0,0.0092898365,0.0
0.0,0.0153375715,0.0
0.0,0.019721307,0.0
0.0,0.0068421196,0.0
0.007845576,0.008769806,0.013363945
0.0,0.008795863,0.0
0.0,0.011016078,0.0
0.0,0.036540408,0.0
0.0,0.0056708427,0.0071273814
0.0,0.018330961,0.0
22.68308,0.05911855,0.05743426
0.0,0.054270368,0.0
0.0,0.0065103327,0.0
0.0,0.012801968,0.0
0.0016855856,0.0034359929,0.004704738
0.0,0.044534005,0.0
0.0,0.04897138,0.0
0.0,0.042707354,0.0
0.0,0.05891774,0.0
0.0,0.012843586,0.0
0.013085722,0.005875862,0.007172003
0.0,0.007235386,0.0
0.0,0.04497998,0.0
0.0,0.007977434,0.0
0.0,0.008831741,0.0
0.0,0.014595719,0.0
0.10870703,0.0042944555,0.0046998295
0.0,0.005292282,0.0
0.0,0.035577197,0.0
0.0,0.008278196,0.0
0.0066030924,0.006172492,0.007795037
0.0,0.03196097,0.0
0.0,0.010965078,0.0
0.0,0.003490912,0.0
0.28187922,0.008214218,0.009486623
0.0,0.0063560326,0.0
0.0,0.024496201,0.0
0.0,0.01717366,0.0
0.0,0.0101142,0.0
0.0,0.01278378,0.0
0.0,0.047583774,0.0
0.0,0.017141758,0.0
0.0,0.04559633,0.0
0.026621612,0.005709784,0.007116728
0.00050257467,0.007690441,0.010858139
0.0,0.05287127,0.0
0.0,0.008625817,0.0
0.0,0.0073748194,0.0
0.0,0.0082261,0.0
0.0,0.004803604,0.0
0.0,0.0075356187,0.0
0.0,0.009800938,0.0
0.0,0.0028498617,0.0
0.0,0.006641128,0.0
0.0,0.007379011,0.0
0.0,0.012447912,0.0
0.0,0.048287515,0.0
0.0,0.0066594454,0.0
0.0,0.045557294,0.0
0.0,0.0065778564,0.0
0.0,0.0049439273,0.0
0.0,0.0111546405,0.0
0.0,0.017015174,0.0
0.0,0.041725073,0.0
0.0,0.044869926,0.0
0.0,0.0027033924,0.0
0.0,0.002727483,0.0
0.0,0.001773314,0.0
0.0,0.048264183,0.0
0.0,0.005926471,0.0
0.008631456,0.0019729503,0.0013783141
0.0,0.038145483,0.0
0.0,0.015370542,0.0
0.0,0.0057506957,0.0
0.0,0.005009498,0.0
0.0,0.005016165,0.0
0.0,0.0073012286,0.0
0.0,0.006966318,0.0
0.0,0.0038271241,0.0
0.015200449,0.004365372,0.0057882406
0.0,0.003806057,0.0
0.0,0.0064754435,0.0
0.0,0.004591855,0.0
0.0,0.0009719484,0.0
0.0,0.00412493,0.0
0.0,0.010639409,0.0
0.0,0.004219028,0.0
0.0,0.005837978,0.005713275
5.6542335,0.03264364,0.03344094
0.0026161605,0.004553759,0.008950657
0.0,0.03752337,0.0
0.0,0.016531078,0.0
0.0,0.0037688853,0.0
0.0,0.004523315,0.0
0.0,0.009889464,0.0
0.0,0.007974311,0.0
0.0,0.0108328555,0.0
0.75775445,0.016338719,0.019442415
0.0,0.013000973,0.0
0.0,0.0013265027,0.0
0.0,0.0026044967,0.0
0.0,0.0026249243,0.0
0.0,0.010163271,0.0
0.0,0.002929918,0.0
0.0,0.0065747,0.0
0.0,0.0041549816,0.0
0.083912164,0.004780423,0.0036358903
0.0,0.0069477535,0.0
0.0,0.045981113,0.0
0.0,0.007516523,0.0
0.0,0.0076470394,0.0
0.0,0.002478723,0.0
0.0,0.0074132415,0.0
0.0,0.007772867,0.0
0.0,0.043970514,0.0
3.1012232,0.047656965,0.058010336
0.0034457056,0.0017818923,0.002099699
0.0,0.0050635426,0.0
0.0,0.0075655193,0.0
0.0,0.0014528218,0.0
0.0,0.0040546646,0.0
0.0,0.00614063,0.0
0.0,0.003823508,0.0
0.0,0.001481688,0.0
0.0,0.04013308,0.0
0.0,0.007143517,0.0
0.0,0.017854076,0.0
0.0,0.004535187,0.0
0.0,0.039027363,0.0
0.0,0.009247701,0.0
0.0,0.0029564209,0.0
0.0,0.0016489691,0.0
0.0,0.002917481,0.0
0.0,0.0050274343,0.0
0.0,0.008559518,0.0
0.0,0.0007286082,0.0
0.0,0.0022317765,0.0
0.0,0.0056928885,0.0
0.0,0.008530707,0.0
0.0,0.0049357237,0.0
0.0,0.0027482954,0.0
0.0,0.0011086673,0.0
0.0,0.004924335,0.0
0.0,0.0064411773,0.0
0.0,0.0063138073,0.0
0.0,0.036975153,0.0
0.0,0.0007483355,0.0
0.0,0.010128011,0.0
0.0,0.0117718335,0.0
0.0,0.0039217887,0.0
0.0,0.00510147,0.0
0.0,0.0013845608,0.0
0.0,0.0024597081,0.0
0.0,0.0016979555,0.0
0.0,0.03988831,0.0
0.0,0.006247724,0.0
0.0,0.0037710522,0.0
0.0,0.00252782,0.0
0.0,0.0060831425,0.0
0.0,0.0069575966,0.0
0.0,0.0015771145,0.0
0.0,0.016639922,0.0
0.0,0.00092713966,0.0
1.5408782,0.024409123,0.034523923
0.0,0.00308288,0.0
0.0,0.004763252,0.0
0.0,0.0050148894,0.0
0.0,0.0037998115,0.0
0.0,0.0017595296,0.0
0.0,0.0006813118,0.0
0.0,0.0028673972,0.0
0.0,0.041756254,0.0
0.0,0.04277275,0.0
0.0,0.0067626256,0.0
0.0,0.029530225,0.0
0.0,0.0028866958,0.0
0.0,0.03482211,0.0
0.0,0.035717033,0.0
0.0,0.0030705757,0.0
0.0,0.034879614,0.0
0.0,0.0014866283,0.0
0.0,0.013216457,0.0
0.0,0.004714978,0.0
0.0,0.0060333833,0.0
0.0,0.0070978063,0.0
0.0,0.0012905729,0.0
0.0,0.0035191616,0.0
0.0,0.0009736105,0.0
0.0,0.003447491,0.0
0.0,0.0062857983,0.0
0.0,0.004688175,0.0
0.0,0.0062849615,0.0
0.0,0.0010403158,0.0
0.0,0.007491312,0.0
0.0,0.0009766249,0.0
0.0,0.00086565554,0.0
0.0,0.0042556757,0.0
0.0,0.010431644,0.0
0.0,0.0031983263,0.0
0.0,0.000773919,0.0
0.0,0.0024322509,0.0
1.399296,0.013136408,0.012214021
0.0,0.01169297,0.0
0.0,0.005257907,0.0
0.0,0.005467439,0.0
0.0,0.033716675,0.0
0.0,0.0056756735,0.0
0.0,0.036881436,0.0
0.00089638826,0.0012223399,0.001261727
0.0,0.0029236018,0.0
0.0,0.0057318243,0.0
0.0,0.003518262,0.0
0.0,0.03151969,0.0
0.0,0.017406158,0.0
0.0,0.0012205355,0.0
0.0,0.002182794,0.0
0.0,0.0073283743,0.0
0.0,0.0014864138,0.0
0.0097860955,0.0023272606,0.0017988427
0.0,0.0025723607,0.0
0.0,0.0012417381,0.0
0.0,0.02828599,0.0
0.0,0.002662766,0.0
0.0,0.02649626,0.0
0.0,0.00049312273,0.0
0.0,0.0018657296,0.0
0.0,0.0036294574,0.0
0.0,0.001995395,0.0
0.0,0.03271027,0.0
0.0,0.0031734756,0.0
0.0,0.0012065241,0.0
0.0,0.0014000579,0.0019242181
0.76297253,0.025789259,0.024667311
0.0,0.0016759511,0.0
0.0,0.0038547358,0.0
0.0,0.00033142415,0.0
0.0,0.0047742156,0.0
0.0,0.03391396,0.0
0.0,0.004502342,0.0
0.0,0.00087193976,0.0
0.0,0.0013906283,0.0
0.0,0.0038306937,0.0
0.0,0.005629678,0.0
0.0,0.0011820089,0.0
0.0,0.0022595536,0.0
0.30796197,0.008169679,0.00915503
0.0,0.0022744471,0.0
0.0,0.0021356386,0.0
0.0,0.0005950849,0.0
0.0,0.0022246498,0.0
0.0,0.02721158,0.0
0.0,0.0014293521,0.0
0.0,0.001924064,0.0
0.0,0.0013103698,0.0
0.0,0.0047199996,0.0
0.0,0.0036112214,0.0
0.0,0.002150257,0.0
