SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
2.6064339,0.020130161,0.017259685
0.255496,0.019662516,0.024218446
0.27949864,0.016956568,0.024640786
1.9139329,0.017016958,0.019695496
0.021167496,0.0197134,0.04427683
0.6630256,0.01717983,0.025734618
0.14739552,0.019867353,0.03797752
0.04256526,0.021985415,0.040392563
0.23716532,0.013709095,0.013239837
1.2680087,0.01721783,0.020996107
0.44465983,0.018802706,0.022653082
1.3426337,0.015841687,0.014373193
0.9560473,0.016623316,0.014902633
0.24048527,0.016300187,0.03233077
0.0,0.01930069,0.0
0.6242133,0.007834975,0.0078216735
0.25021416,0.005893652,0.0053246478
0.91560626,0.009810911,0.010237884
0.5107609,0.010189228,0.010891129
0.29325482,0.015033415,0.022695556
0.2517856,0.009531429,0.011839037
0.011035631,0.01978991,0.026931724
0.046936616,0.010677102,0.014307717
0.10923279,0.0073113334,0.0037954608
0.28113273,0.007942773,0.008802605
0.0,0.0119523015,0.02155134
0.078196846,0.01143172,0.018841967
2.4142885,0.024328042,0.028573068
0.031116854,0.01195577,0.020868525
0.0,0.021808442,0.0
0.0982241,0.0193119,0.025063008
0.027189672,0.010273072,0.016801268
0.1411813,0.009061709,0.011637876
0.12749079,0.00997646,0.0108226435
0.09090061,0.009653854,0.015118811
0.33375832,0.009963722,0.011563969
0.0,0.016226184,0.0
0.14165375,0.0144144455,0.019948363
0.0,0.013995981,0.0
0.0,0.025239356,0.0
0.0967056,0.011664368,0.013000112
0.0,0.018991973,0.0
0.0026138525,0.007261413,0.0042548818
0.031581502,0.014335015,0.04146988
0.0,0.0190339,0.0
0.028974338,0.008667744,0.006702639
0.0,0.0143242255,0.0
0.06879289,0.009013463,0.012459577
0.04135221,0.008139756,0.013143368
0.14263648,0.011522127,0.01677193
0.0021894851,0.0102699995,0.010136768
0.0,0.0126129845,0.0
0.13059466,0.005267296,0.0063308403
0.0,0.018859444,0.0
0.007516506,0.017314048,0.026352318
0.0,0.013443919,0.029072344
0.0,0.00972328,0.0
0.05497099,0.009334802,0.01264762
0.10708974,0.008244658,0.008797859
0.0,0.024625553,0.0
0.0,0.018465996,0.0
0.0,0.008859846,0.0
0.0,0.0059431745,0.0
0.0,0.01351383,0.025733858
0.0,0.008157479,0.0
0.0,0.016686352,0.0
0.048538275,0.0069017587,0.0068596015
0.0,0.017157247,0.0
0.124768555,0.006573978,0.0053328606
0.0,0.021505317,0.0
0.0,0.010271776,0.0
0.003887148,0.014155653,0.026889397
0.0,0.037300885,0.0
0.0,0.010022552,0.016927898
0.5657743,0.0056438283,0.0047696317
0.0,0.012999674,0.0
0.0,0.008281786,0.0
0.04799154,0.012361382,0.015800694
0.2789885,0.02358498,0.034064256
0.0,0.0073955213,0.0
0.07675764,0.01769059,0.02710747
0.008232271,0.006943374,0.0076408917
0.0,0.01668608,0.0
0.11422658,0.010813621,0.012434472
0.0017616478,0.0021163546,0.0027284254
0.0,0.0076369983,0.0
0.0,0.007896578,0.0
0.0,0.012632754,0.0
0.0,0.016319819,0.0
0.0,0.033070516,0.0
0.0,0.023208838,0.0
0.06996936,0.0080636535,0.012642333
0.0,0.019550119,0.0
0.03958232,0.004282166,0.0044517033
0.0,0.013775583,0.0
0.0,0.04215102,0.0
0.36144084,0.006051766,0.008862867
0.0,0.0052187047,0.0
0.0,0.02089391,0.0
0.0,0.009831449,0.0
0.0,0.010845624,0.0
0.0,0.006442292,0.0067966217
0.0,0.005050894,0.0
0.0,0.018269543,0.0
0.0,0.008605497,0.0
0.23772293,0.011722853,0.010934518
0.0,0.0021374777,0.004583065
0.0,0.014285067,0.0
0.0,0.009183941,0.0
0.0096889455,0.012235031,0.028079446
0.0,0.048496924,0.0
0.0,0.005356894,0.0
0.0,0.013258799,0.0
0.0,0.005578847,0.0
0.008095673,0.009385715,0.0
0.0,0.0070266975,0.0
0.0,0.011546932,0.0
0.0,0.0077869655,0.0
0.0,0.007999668,0.0
0.0,0.005520553,0.0
0.0,0.0055691404,0.0
0.0,0.008601118,0.0
0.001434023,0.0052615223,0.00938458
0.84013337,0.043197267,0.041779116
0.0,0.010685506,0.0
0.0,0.008103592,0.0
0.0,0.005496975,0.0
0.41663894,0.00605306,0.0071188756
0.0,0.017397534,0.0
0.021400804,0.008258556,0.011770134
0.0143299075,0.002397281,0.0022769754
0.0,0.00708401,0.011677803
7.9051933,0.018450307,0.022340065
0.0,0.0026079547,0.0
0.0,0.016091911,0.0
0.0,0.04696341,0.0
0.0,0.0075442325,0.0
0.0,0.005587006,0.0
0.0,0.04492575,0.0
0.0,0.013389462,0.0
0.0012540506,0.0020652805,0.0025680696
0.0,0.03238954,0.0
0.02399995,0.007418499,0.010740304
0.0,0.008202967,0.0
0.0,0.0068714246,0.0
0.021357004,0.0048969155,0.0055156862
0.0,0.00779242,0.0
0.0,0.007951981,0.0
0.0,0.00864048,0.0
0.0,0.0054310053,0.0
0.0,0.010540265,0.0
0.0,0.04272973,0.0
0.0,0.006967552,0.007429911
0.0,0.010859188,0.0
1.2113235,0.045486473,0.061632726
0.0,0.011491755,0.0
0.0,0.029173598,0.0
0.0,0.015311798,0.0
0.0,0.0029091889,0.0
0.0,0.009942264,0.0
0.0,0.016559752,0.0
