SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
2.3689203,0.016631192,0.01353026
2.4411008,0.018828062,0.017784543
0.6585002,0.008361952,0.0048478986
0.67636544,0.016013576,0.028529897
0.5568262,0.017311027,0.02457817
0.77639335,0.00988817,0.012527731
0.0,0.01768045,0.0
0.0,0.016807895,0.0
0.7606842,0.011526826,0.01430479
0.0,0.0142644765,0.0
0.33136767,0.012693097,0.017136512
0.07693541,0.004653164,0.003347618
0.0,0.019544585,0.0
0.43554893,0.009315275,0.008686557
0.2388477,0.00834379,0.009122861
0.0,0.017766394,0.0
0.030853804,0.012678823,0.025315588
0.16769333,0.0083761,0.007863918
0.54034775,0.023307363,0.031163301
0.0,0.012726215,0.0
0.13456172,0.0117971,0.021510018
0.65347606,0.01153803,0.011399772
0.800076,0.007767531,0.00731038
0.0,0.014328141,0.0
13.501376,0.05638696,0.04876323
0.0,0.011776471,0.0
0.0,0.012673195,0.0
0.0,0.015959809,0.0
0.0,0.014358032,0.0
0.0,0.019598138,0.0
0.24487667,0.007247596,0.007331861
0.92973286,0.021375265,0.0282664
0.0,0.011227804,0.0
0.0,0.057171054,0.0
0.0,0.0089203855,0.0
0.10333462,0.0075401687,0.004729052
0.0,0.010663195,0.0
0.12231119,0.0062084757,0.007937709
0.0,0.007738642,0.0
0.42317522,0.0069369813,0.008298072
0.22958755,0.0039107604,0.0033325471
0.0,0.0117293475,0.0
0.0,0.009041292,0.0
0.0,0.010792797,0.0
0.0,0.012536758,0.0
0.0,0.054520253,0.0
0.0,0.013314514,0.0
0.0,0.014141472,0.0
0.0,0.058843113,0.0
0.0,0.023046592,0.0
0.012986696,0.0057701766,0.007983641
0.0,0.01563347,0.0
0.0,0.010586061,0.0
0.074691355,0.008164442,0.008935007
0.0,0.009220022,0.0
0.0,0.015437994,0.0
0.0,0.045944195,0.0
0.0,0.008883385,0.0
0.0,0.009276893,0.0
0.0,0.0069273086,0.0
0.0,0.014582621,0.0
0.0,0.003446971,0.0
0.0,0.012679847,0.0
0.0,0.048979007,0.0
0.0,0.0071801497,0.0
3.6968768,0.03202633,0.04443445
0.0,0.010383982,0.0
0.0,0.045938417,0.0
0.0,0.030376362,0.0
0.0,0.044301294,0.0
0.0,0.011069526,0.0
0.0,0.0066518257,0.0
0.0,0.0061704987,0.006384092
0.0,0.020547725,0.0
0.0,0.016189286,0.0
0.0,0.011047157,0.0
0.0,0.053703416,0.0
0.0,0.005176128,0.0
0.0,0.008733896,0.0
0.0,0.005326893,0.0
0.0,0.055017535,0.0
0.0,0.0452197,0.0
0.026638463,0.0076155947,0.011105312
0.0,0.016864924,0.0
0.0,0.0061908066,0.0
0.0,0.049651507,0.0
0.044771716,0.00621027,0.0064996253
0.0,0.03541831,0.0
0.0,0.019223826,0.0
0.0,0.008289254,0.0
0.0,0.047301117,0.0
0.0,0.0073563876,0.0
0.114111334,0.0052943863,0.0052492414
0.0,0.01716782,0.0
0.0,0.02472509,0.0
0.0,0.0067256573,0.0
0.0,0.04978738,0.0
0.16401297,0.0038192165,0.0065840096
0.0,0.041491877,0.0
0.06523224,0.0043008034,0.0047064964
0.0,0.052889436,0.0
0.0,0.01241291,0.0
0.0,0.010335064,0.0
0.0,0.006541043,0.0
0.0024529537,0.004737395,0.0075423084
0.0,0.00868556,0.0
0.01540263,0.0061210073,0.0055940934
0.0,0.009997716,0.0
0.0,0.048267294,0.0
0.0,0.008240492,0.0
0.0,0.047617573,0.0
0.0,0.015325798,0.0
0.0,0.0065539097,0.0
0.0,0.045378823,0.0
0.0,0.0050098565,0.0
0.0,0.007463947,0.0
0.0,0.0050929524,0.0
0.0,0.0073515954,0.0
0.0,0.038409516,0.0
0.0,0.0032294053,0.0
0.022458097,0.004321902,0.0049885903
0.0,0.0040591024,0.0
0.0,0.0037894037,0.0
0.0,0.0052021607,0.0
0.0,0.002559115,0.0
0.0,0.0063548107,0.0
0.0,0.0071611293,0.0
0.0,0.0029578577,0.0
0.0,0.0037149026,0.0037200958
0.0,0.011370102,0.0
0.0,0.0042795185,0.0
0.0,0.005540943,0.0
0.0,0.0076489556,0.0
0.019753527,0.00092461845,0.0
10.295967,0.035022642,0.03502005
0.0,0.009917826,0.0
0.0,0.0014427172,0.0
0.0,0.003829436,0.0
0.0,0.047764793,0.0
0.0,0.005438349,0.0
0.0,0.0042031794,0.0
0.0,0.0039356165,0.0
0.0,0.0027439287,0.0
0.0,0.029218929,0.0
0.0,0.0069318474,0.0
0.0,0.012883136,0.0
0.0,0.003912632,0.0
0.0,0.016768102,0.0
0.0,0.010791638,0.0
0.0,0.007955689,0.0
2.8031335,0.053084645,0.06461239
0.0,0.043475218,0.0
0.0,0.0069802967,0.0
0.0,0.0024518762,0.0
0.0,0.006286179,0.0
0.0,0.004128058,0.0
0.0,0.0056730816,0.0
0.0,0.010351463,0.0
0.0,0.0013021947,0.0
0.0,0.005333088,0.0
0.0,0.046043828,0.0
0.0,0.0015121142,0.0025509628
0.0,0.0050712,0.0
0.0,0.0030370667,0.0
0.0,0.0016196556,0.0
0.0,0.038931806,0.0
0.0,0.017091302,0.0
0.0,0.0066045974,0.0
0.0,0.009132766,0.0
0.0,0.0076056193,0.0
0.029468419,0.0015529678,0.0018572211
0.0,0.0085403295,0.0
0.0,0.007214733,0.0
0.0,0.0044011204,0.0
0.0,0.006598385,0.0
0.0,0.040091097,0.0
0.0,0.0076980167,0.0
1.6788882,0.052102733,0.061402585
0.0,0.0020493234,0.0
0.0,0.06128686,0.0
0.0,0.0047729537,0.0
0.05018183,0.0044377553,0.0037320727
0.0,0.015683608,0.0
0.0,0.010994931,0.0
1.9112762,0.01087895,0.012771813
0.0,0.0083985245,0.0
0.0,0.002403291,0.0
0.0,0.008507601,0.0
0.0,0.0032028882,0.0
0.0,0.004842029,0.0
0.0,0.002984016,0.0
0.0,0.006079716,0.0
2.5328493,0.019605458,0.02643569
0.0,0.0030291388,0.0
0.0,0.0012227311,0.0
0.0,0.0052182595,0.0
0.0,0.006405724,0.0
0.0,0.039101984,0.0
0.0,0.0006416482,0.0
0.0,0.0023652054,0.0
0.0,0.0013289875,0.0
0.0,0.00395191,0.0
0.0,0.0024346171,0.0
0.0,0.036732905,0.0
0.0,0.0030559304,0.0
0.0,0.0042536897,0.0
0.0,0.0022768711,0.0
0.0,0.0061706477,0.0
0.0,0.0033523915,0.0
0.0,0.003749306,0.0
0.0,0.0029071784,0.0
0.0,0.010178793,0.0
0.0,0.0023849185,0.0
0.0,0.016308473,0.0
0.0,0.0047765966,0.0
0.0,0.006954556,0.0
0.0,0.0008003022,0.0
0.0,0.004741048,0.0
0.0,0.0007644107,0.0
0.0,0.039387826,0.0
0.0,0.0026074583,0.0
0.0,0.002900019,0.0
0.0,0.011938455,0.0
0.0,0.0077285636,0.0
0.0,0.0025012924,0.0
0.0,0.007492499,0.0
0.0,0.0008156371,0.0
0.0,0.013099797,0.0
0.0,0.0050571538,0.0
0.0,0.003743882,0.0
0.0,0.0005290983,0.0
0.0,0.03549658,0.0
0.0,0.002966847,0.0
0.0,0.004467555,0.0
0.0,0.005053815,0.0
0.0,0.0053922473,0.0
0.0,0.001975798,0.0
0.0,0.001811386,0.0
0.0,0.006006421,0.0
0.0,0.0031094984,0.0
0.0,0.0014964084,0.0
0.0,0.000934216,0.0
0.0,0.043142967,0.0
0.0,0.0022893413,0.0
0.0,0.005360316,0.0
0.0,0.0069769425,0.0
0.7970416,0.025998158,0.04246741
0.0,0.0422851,0.0
0.0,0.0016329144,0.0
0.0,0.0009884182,0.0
0.0,0.035040043,0.0
0.0,0.0024473795,0.0
0.0,0.031528033,0.0
0.0,0.0054478515,0.0
0.0,0.035091616,0.0
0.0,0.0011913893,0.0
0.0,0.0008658423,0.0
0.0,0.00282829,0.0
0.0,0.0021304209,0.0
0.0,0.0015369618,0.0
0.0,0.0056571006,0.0
0.0,0.0057302876,0.0
0.0,0.0012703176,0.0
0.0,0.0017235554,0.0
0.0,0.00036617037,0.0
0.0,0.0009495132,0.0
0.0,0.0030107026,0.0
0.0,0.0021161789,0.0
0.0,0.0038333847,0.0
0.0,0.0037838316,0.0
0.0,0.03707644,0.0
0.0,0.0010419423,0.0
0.0,0.00341755,0.0
0.0,0.0049049985,0.0
0.0,0.002869858,0.0
0.0,0.033717766,0.0
0.0,0.0063565597,0.0
0.0,0.0023117429,0.0
0.0,0.0063491985,0.0
0.0,0.0011860442,0.0
0.0,0.016078385,0.0
0.0,0.0009853763,0.0
0.0,0.02628888,0.0
0.0,0.01046388,0.0
0.0,0.03234978,0.0
0.0,0.0045847734,0.0
0.0,0.0016346837,0.0
0.0,0.0011701012,0.0
0.0,0.0035650241,0.0
0.0,0.0015047494,0.0
0.0,0.003127342,0.0
0.0,0.007237384,0.0
0.0,0.0016792379,0.0
0.8159232,0.023751756,0.027550938
0.0,0.0037500279,0.0
0.0,0.0014430342,0.0
0.0,0.032187942,0.0
0.0,0.0022835238,0.0
0.0,0.0074720155,0.0
0.0,0.001129581,0.0
0.0,0.003897425,0.0
0.0,0.0016269869,0.0
0.0,0.0027228112,0.0
0.0,0.002008365,0.0
0.0,0.0050709555,0.0
0.0,0.0038568368,0.0
0.0,0.00038307297,0.0
0.0,0.027349673,0.0
0.0,0.0049110306,0.0
0.0,0.002910718,0.0
0.0,0.00456498,0.0
0.0,0.0020834398,0.0
0.0,0.0017960836,0.0
0.0,0.003746526,0.0
0.0,0.001396646,0.0
0.0,0.00095722574,0.0
0.0,0.051730577,0.0
0.0,0.0029916416,0.0
0.0,0.0007820389,0.0
0.0,0.0026972261,0.0
0.0,0.026262734,0.0
0.0,0.0021315115,0.0
0.0,0.0013695135,0.0
0.0,0.0036878125,0.0
0.0,0.0009918597,0.0
0.0,0.0012016214,0.0
0.0,0.0044547743,0.0
0.0,0.0037406473,0.0
0.0,0.0027929093,0.0
0.0,0.0006670376,0.0
0.0,0.002493804,0.0
0.0,0.0007689935,0.0
0.0,0.0014166693,0.0
0.0,0.0028872346,0.0
0.0,0.0031833104,0.0
0.0,0.0029689553,0.0
0.0,0.0034284736,0.0
0.0,0.0010562162,0.0
0.0,0.003262708,0.0
0.0,0.0052140076,0.0
0.0,0.0009707876,0.0
0.0,0.0016549478,0.0
0.03372279,0.0062344647,0.0063171033
0.0,0.003646119,0.0
0.0,0.0017972053,0.0
0.0,0.0021911005,0.0
0.0,0.00079876906,0.0
0.0,0.032828122,0.0
0.50725555,0.010050949,0.012634687
0.0,0.0066618547,0.0
0.0,0.0026124078,0.0
0.0,0.0015702986,0.0
0.0,0.003375254,0.0
0.0,0.004505603,0.0
0.0,0.0030119943,0.0
0.0,0.0007547797,0.0
0.0,0.00084045145,0.0
0.0,0.02307011,0.0
0.0,0.029176798,0.0
0.0,0.037958648,0.0
0.0,0.0026508828,0.0
0.0,0.017303064,0.0
0.0,0.0013789779,0.0
0.0,0.0015345829,0.0
0.0,0.002316229,0.0
0.0,0.031487323,0.0
0.0,0.00090817927,0.0
0.0,0.0008475605,0.0
0.0,0.025132928,0.0
0.0,0.0029554858,0.0
0.0,0.0014679855,0.0
0.0,0.0010721299,0.0
0.0,0.029398842,0.0
0.0,0.0015564376,0.0
0.0,0.01025016,0.0
0.0,0.0063209003,0.0
0.0,0.0016618264,0.0
0.0,0.0034334022,0.0
0.0,0.003506605,0.0
0.0,0.0016024801,0.0
0.0,0.0040075732,0.0
0.0,0.0010379123,0.0
0.0,0.0013896073,0.0
0.0,0.025857607,0.0
0.0,0.027859189,0.0
0.0,0.0029405307,0.0
0.0,0.002519711,0.0
0.0,0.0016003799,0.0
0.0,0.005304402,0.0
0.0,0.0050448054,0.0
0.0,0.0015011083,0.0
0.0,0.030322084,0.0
0.0,0.004406642,0.0
0.0,0.00455636,0.0
0.0,0.003059918,0.0
0.0,0.0020052162,0.0
0.0,0.0012629057,0.0
0.0,0.0007753144,0.0
0.0,0.0010557119,0.0
0.0,0.0021111048,0.0
0.0,0.0026208183,0.0
0.0,0.005775835,0.0
0.0,0.001570681,0.0
0.0,0.005507602,0.0
0.0,0.0040196455,0.0
0.0,0.0024337596,0.0
0.0,0.005949904,0.0
0.0,0.026181677,0.0
0.80322474,0.013668276,0.016942939
0.0,0.0051127025,0.0
0.0,0.0017725019,0.0
0.0,0.0030959912,0.0
0.0,0.009687674,0.0
0.0,0.011815572,0.0
0.0,0.0021787419,0.0
0.0,0.053162433,0.0
0.0,0.005245095,0.0
0.0,0.0057196585,0.0
0.0,0.0015086193,0.0
0.0,0.0022064827,0.0
0.0,0.002791131,0.0
0.0,0.0010011169,0.0
0.21015798,0.017653333,0.027491989
0.0,0.026527416,0.0
0.0,0.0008499255,0.0
0.0,0.0063318056,0.0
0.0,0.00707678,0.0
0.0,0.00071369234,0.0
0.0,0.0019928121,0.0
0.0,0.0030535103,0.0
0.0,0.001791805,0.0
0.0,0.0018219418,0.0
0.0,0.0024893004,0.0
0.0,0.0044673113,0.0
0.0,0.00242853,0.0
