SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
0.56832576,0.013064652,0.012683564
1.5375307,0.018939393,0.019105578
0.87868935,0.014744553,0.012344114
1.6915144,0.016751867,0.01649194
0.19551106,0.01666367,0.030930262
0.0,0.013470385,0.0
0.0,0.018245827,0.0
0.012529779,0.012980575,0.016151309
0.24380375,0.013614594,0.019151052
0.7174893,0.016248126,0.018075649
0.22896361,0.009334437,0.008389086
0.0,0.016562236,0.0
0.0,0.012666945,0.0
1.1750872,0.014665131,0.01743816
0.0,0.012499702,0.0
0.0,0.017877886,0.0
0.749239,0.013188401,0.016361449
0.0,0.01773961,0.0
0.030806055,0.015457233,0.046905685
0.0,0.019359948,0.0
0.0,0.013894466,0.0
0.11405265,0.014229802,0.024746772
0.0,0.0134308105,0.0
0.26783466,0.011889006,0.013259094
0.0,0.012987316,0.0
0.030403141,0.010287731,0.016620155
0.08077242,0.009415379,0.011170282
0.034274403,0.007513573,0.010205356
0.0,0.01802291,0.0
0.0,0.013595508,0.0
0.0,0.017263956,0.0
0.0,0.01874815,0.0
0.0,0.02562634,0.0
0.0,0.0152874915,0.0
0.0,0.012508776,0.0
0.0,0.012462169,0.0
0.03211237,0.007452259,0.004611548
0.0,0.027310632,0.0
0.0,0.010070022,0.0
0.025136728,0.011414779,0.019954473
0.29953825,0.013732662,0.013215485
0.0051667127,0.016613672,0.03619974
0.0,0.012614905,0.0
0.22947967,0.013110975,0.017810471
0.0,0.015104137,0.0
0.13117804,0.006804062,0.005203557
0.0,0.02462384,0.0
0.0,0.014420136,0.0
0.019351702,0.0107572125,0.013349394
0.0,0.011646104,0.0
0.08752456,0.0066829184,0.0059363116
0.0,0.057463195,0.0
0.0,0.01263879,0.0
0.0,0.012608425,0.0
0.0,0.010511079,0.0
0.0,0.009185553,0.0
0.04204535,0.0072180424,0.013192135
0.0,0.013731089,0.0
0.0,0.01038405,0.0
0.0,0.01047341,0.0
0.0,0.015584325,0.0
0.011792319,0.009765466,0.018177696
0.11042348,0.009054993,0.010060506
0.0,0.008679264,0.0
0.0,0.011051766,0.0
0.0,0.04413995,0.0
0.0,0.01213981,0.0
0.0,0.010665045,0.0
0.0011289283,0.00731678,0.01121901
0.06722609,0.0053864275,0.00393556
1.4048535,0.04864911,0.0673252
0.0,0.0075071785,0.0
0.0,0.019465035,0.0
2.4637835,0.044942275,0.051729146
0.0,0.014527578,0.0
0.038270287,0.005479765,0.003493454
0.072576724,0.0063584866,0.0047610668
0.0014038009,0.003731271,0.006196739
0.7742137,0.04822537,0.06922323
0.0011844588,0.006257502,0.008311175
14.614871,0.049531583,0.04135541
0.0,0.015419733,0.0
0.043240648,0.005714216,0.009532064
0.0,0.06500241,0.0
0.0,0.008753419,0.0
0.0,0.008920219,0.0
0.0,0.0073957946,0.0
0.0,0.014153132,0.0
0.0,0.009014454,0.0
2.186511,0.039923772,0.04054012
0.0,0.052203618,0.0
0.0,0.009713731,0.0
0.0,0.007378774,0.0
0.0,0.01916948,0.0
0.0,0.015464009,0.0
0.0,0.014532303,0.0
0.0,0.04804606,0.0
0.0,0.0088608265,0.0
0.0,0.010405531,0.0
0.0,0.005656822,0.0
0.0,0.012768594,0.0
0.0,0.010701911,0.0
0.0,0.012895836,0.0
0.0,0.012544279,0.0
0.0,0.008591064,0.0
0.0,0.054073546,0.0
0.0,0.0095651075,0.0
0.0,0.008785067,0.0
0.0,0.0036651099,0.0
0.0,0.044343106,0.0
0.0,0.013486934,0.0
0.0,0.0471214,0.0
0.0,0.008370865,0.0
0.03733549,0.0049748966,0.004515598
0.0,0.044169992,0.0
0.0,0.012583348,0.0
0.0,0.05002535,0.0
0.0,0.02524634,0.0
0.0,0.0034744723,0.0
